Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
전주 KCC 이지스,울산 모비스 피버스,2012.03.07 (수),이동준,8:28,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,울산 모비스 피버스,2012.03.07 (수),자밀 왓킨스,40:0,8,3/12,25.0,0/0,0,3/12,25.0,2/4,50.0,3,10,13,0,5,3,0,2,4,0,3
전주 KCC 이지스,울산 모비스 피버스,2012.03.07 (수),추승균,21:37,9,1/6,16.7,1/3,33.3,2/9,22.2,4/4,100.0,0,0,0,0,4,2,1,0,4,0,0
전주 KCC 이지스,울산 모비스 피버스,2012.03.07 (수),이중원,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,울산 모비스 피버스,2012.03.07 (수),정선규,4:34,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,울산 모비스 피버스,2012.03.07 (수),임재현,35:3,12,4/7,57.1,1/1,100.0,5/8,62.5,1/2,50.0,0,1,1,0,1,1,2,0,2,0,1
전주 KCC 이지스,울산 모비스 피버스,2012.03.07 (수),신명호,24:0,0,0/3,0.0,0/0,0,0/3,0.0,0/0,0,0,0,0,0,2,2,0,0,4,0,0
전주 KCC 이지스,울산 모비스 피버스,2012.03.07 (수),유병재,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,울산 모비스 피버스,2012.03.07 (수),하승진,27:16,19,8/9,88.9,0/0,0,8/9,88.9,3/4,75.0,1,7,8,1,1,3,0,0,1,0,8
전주 KCC 이지스,울산 모비스 피버스,2012.03.07 (수),정민수,21:7,10,2/2,100.0,2/6,33.3,4/8,50.0,0/0,0,0,2,2,0,0,1,0,0,4,0,2
전주 KCC 이지스,울산 모비스 피버스,2012.03.07 (수),김태홍,17:55,7,2/5,40.0,1/1,100.0,3/6,50.0,0/0,0,2,1,3,0,0,0,0,0,0,0,1
전주 KCC 이지스,울산 모비스 피버스,2012.03.07 (수),김우람,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 모비스 피버스,전주 KCC 이지스,2012.03.07 (수),김동우,26:28,6,0/0,0,2/4,50.0,2/4,50.0,0/0,0,0,3,3,0,0,1,0,0,3,0,0
울산 모비스 피버스,전주 KCC 이지스,2012.03.07 (수),양동근,35:34,26,4/9,44.4,6/9,66.7,10/18,55.6,0/0,0,0,3,3,0,3,1,2,0,0,0,1
울산 모비스 피버스,전주 KCC 이지스,2012.03.07 (수),박종천,6:53,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,1,0,1,0,0,0,0,0,3,0,0
울산 모비스 피버스,전주 KCC 이지스,2012.03.07 (수),함지훈,36:23,11,3/6,50.0,0/0,0,3/6,50.0,5/6,83.3,4,2,6,0,11,0,1,0,1,0,3
울산 모비스 피버스,전주 KCC 이지스,2012.03.07 (수),박구영,34:41,12,1/1,100.0,3/7,42.9,4/8,50.0,1/2,50.0,0,2,2,0,7,0,1,1,3,0,0
울산 모비스 피버스,전주 KCC 이지스,2012.03.07 (수),테렌스 레더,38:7,33,15/24,62.5,0/1,0.0,15/25,60.0,3/3,100.0,3,11,14,1,1,3,2,2,4,0,9
울산 모비스 피버스,전주 KCC 이지스,2012.03.07 (수),송창용,9:15,0,0/2,0.0,0/0,0,0/2,0.0,0/0,0,0,1,1,0,0,0,0,0,0,0,0
울산 모비스 피버스,전주 KCC 이지스,2012.03.07 (수),홍수화,4:36,3,0/0,0,1/1,100.0,1/1,100.0,0/0,0,1,0,1,0,1,0,0,0,2,0,0
울산 모비스 피버스,전주 KCC 이지스,2012.03.07 (수),류종현,1:3,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,0,1,1,0,0,0,0,0,0,0,0
울산 모비스 피버스,전주 KCC 이지스,2012.03.07 (수),이지원,4:26,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 모비스 피버스,전주 KCC 이지스,2012.03.07 (수),김동량,2:34,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,1,0,0,1,0,0
울산 모비스 피버스,전주 KCC 이지스,2012.03.07 (수),임상욱,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
부산 KT 소닉붐,인천 전자랜드 엘리펀츠,2012.03.08 (목),표명일,10:40,0,0/0,0,0/2,0.0,0/2,0.0,0/0,0,0,0,0,0,0,0,0,1,2,0,0
부산 KT 소닉붐,인천 전자랜드 엘리펀츠,2012.03.08 (목),조성민,37:40,11,2/8,25.0,2/8,25.0,4/16,25.0,1/2,50.0,1,3,4,0,3,1,1,0,3,0,0
부산 KT 소닉붐,인천 전자랜드 엘리펀츠,2012.03.08 (목),조동현,27:7,3,0/2,0.0,1/4,25.0,1/6,16.7,0/0,0,1,0,1,0,4,0,1,0,2,0,0
부산 KT 소닉붐,인천 전자랜드 엘리펀츠,2012.03.08 (목),박성운,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
부산 KT 소닉붐,인천 전자랜드 엘리펀츠,2012.03.08 (목),송영진,26:22,10,1/3,33.3,2/4,50.0,3/7,42.9,2/2,100.0,1,0,1,0,4,2,1,0,5,0,1
부산 KT 소닉붐,인천 전자랜드 엘리펀츠,2012.03.08 (목),박상오,26:10,16,5/6,83.3,2/4,50.0,7/10,70.0,0/0,0,0,3,3,0,2,1,1,0,5,0,4
부산 KT 소닉붐,인천 전자랜드 엘리펀츠,2012.03.08 (목),김영환,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
