Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
안양 KGC 인삼공사,원주 동부 프로미,2012.10.13 (토),김성철,8:44,5,1/2,50.0,1/3,33.3,2/5,40.0,0/0,0,1,0,1,0,1,1,0,0,1,0,1
안양 KGC 인삼공사,원주 동부 프로미,2012.10.13 (토),김일두,26:19,15,4/6,66.7,2/5,40.0,6/11,54.5,1/2,50.0,0,2,2,0,4,0,1,0,4,0,2
안양 KGC 인삼공사,원주 동부 프로미,2012.10.13 (토),양희종,29:48,13,2/6,33.3,3/7,42.9,5/13,38.5,0/0,0,1,2,3,0,4,3,2,0,2,0,2
안양 KGC 인삼공사,원주 동부 프로미,2012.10.13 (토),김태술,31:22,12,5/9,55.6,0/0,0,5/9,55.6,2/2,100.0,2,0,2,0,5,2,1,0,2,0,4
안양 KGC 인삼공사,원주 동부 프로미,2012.10.13 (토),정휘량,3:54,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,1,1,0,0,0,0,0,1,0,0
안양 KGC 인삼공사,원주 동부 프로미,2012.10.13 (토),이정현,37:1,12,2/4,50.0,2/5,40.0,4/9,44.4,2/2,100.0,0,3,3,0,4,1,3,0,5,0,1
안양 KGC 인삼공사,원주 동부 프로미,2012.10.13 (토),차민석,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,원주 동부 프로미,2012.10.13 (토),최현민,11:50,6,2/5,40.0,0/1,0.0,2/6,33.3,2/2,100.0,0,0,0,0,0,2,0,1,3,0,1
안양 KGC 인삼공사,원주 동부 프로미,2012.10.13 (토),후안 파틸로,18:11,17,8/11,72.7,0/0,0,8/11,72.7,1/1,100.0,0,5,5,5,0,1,1,0,1,0,8
안양 KGC 인삼공사,원주 동부 프로미,2012.10.13 (토),키브웨 트림,21:49,8,3/8,37.5,0/0,0,3/8,37.5,2/4,50.0,9,5,14,0,4,0,1,0,2,0,3
안양 KGC 인삼공사,원주 동부 프로미,2012.10.13 (토),김민욱,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,원주 동부 프로미,2012.10.13 (토),박상률,11:2,3,0/0,0,1/3,33.3,1/3,33.3,0/0,0,0,0,0,0,1,0,0,0,1,0,0
원주 동부 프로미,안양 KGC 인삼공사,2012.10.13 (토),김주성,33:0,11,5/11,45.5,0/0,0,5/11,45.5,1/1,100.0,4,3,7,0,3,4,0,2,1,0,5
원주 동부 프로미,안양 KGC 인삼공사,2012.10.13 (토),진경석,7:31,3,1/1,100.0,0/1,0.0,1/2,50.0,1/2,50.0,0,1,1,0,0,1,1,0,0,0,1
원주 동부 프로미,안양 KGC 인삼공사,2012.10.13 (토),석명준,1:34,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 동부 프로미,안양 KGC 인삼공사,2012.10.13 (토),빅터 토마스,28:31,30,13/17,76.5,1/3,33.3,14/20,70.0,1/3,33.3,4,6,10,0,2,0,0,1,0,0,13
원주 동부 프로미,안양 KGC 인삼공사,2012.10.13 (토),김영수,23:57,4,0/1,0.0,0/6,0.0,0/7,0.0,4/4,100.0,0,1,1,0,2,0,0,0,4,0,0
원주 동부 프로미,안양 KGC 인삼공사,2012.10.13 (토),김봉수,4:13,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 동부 프로미,안양 KGC 인삼공사,2012.10.13 (토),이승준,33:4,21,10/15,66.7,0/1,0.0,10/16,62.5,1/2,50.0,2,8,10,3,1,3,0,0,3,0,8
원주 동부 프로미,안양 KGC 인삼공사,2012.10.13 (토),최윤호,30:7,2,1/1,100.0,0/4,0.0,1/5,20.0,0/0,0,0,1,1,0,1,2,1,0,0,0,0
원주 동부 프로미,안양 KGC 인삼공사,2012.10.13 (토),김현호,9:26,0,0/0,0,0/0,0,0/0,0,0/0,0,0,1,1,0,0,2,0,0,3,0,0
원주 동부 프로미,안양 KGC 인삼공사,2012.10.13 (토),박지훈,2:10,2,1/1,100.0,0/0,0,1/1,100.0,0/0,0,0,1,1,0,0,0,0,0,1,0,0
원주 동부 프로미,안양 KGC 인삼공사,2012.10.13 (토),이동건,14:58,4,1/1,100.0,0/1,0.0,1/2,50.0,2/2,100.0,0,3,3,0,1,2,1,0,1,0,1
원주 동부 프로미,안양 KGC 인삼공사,2012.10.13 (토),브랜든 보우만,11:29,7,2/3,66.7,0/0,0,2/3,66.7,3/3,100.0,1,2,3,0,1,3,2,0,1,0,2
서울 SK 나이츠,인천 전자랜드 엘리펀츠,2012.10.13 (토),김효범,3:25,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,0,0,0,0,1,0,0,0,0,0
서울 SK 나이츠,인천 전자랜드 엘리펀츠,2012.10.13 (토),주희정,8:42,2,1/2,50.0,0/0,0,1/2,50.0,0/0,0,1,2,3,0,2,1,1,0,0,0,1
서울 SK 나이츠,인천 전자랜드 엘리펀츠,2012.10.13 (토),이현준,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 SK 나이츠,인천 전자랜드 엘리펀츠,2012.10.13 (토),박상오,35:26,13,1/5,20.0,3/7,42.9,4/12,33.3,2/2,100.0,3,1,4,0,0,4,3,0,2,0,1
서울 SK 나이츠,인천 전자랜드 엘리펀츠,2012.10.13 (토),김민수,21:41,4,2/5,40.0,0/2,0.0,2/7,28.6,0/0,0,1,4,5,1,0,1,0,0,5,0,2
