Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
원주 나래 블루버드,창원 LG 세이커스,1999.03.20 (토),최호,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 나래 블루버드,창원 LG 세이커스,1999.03.20 (토),장윤섭,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 나래 블루버드,창원 LG 세이커스,1999.03.20 (토),양경민,4:8,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,0,0,0,0,0,1,0,0,0,0,0
원주 나래 블루버드,창원 LG 세이커스,1999.03.20 (토),신기성,40:0,10,1/2,50.0,1/3,33.3,2/5,40.0,5/6,83.3,2,2,4,0,2,0,1,0,3,0,0
원주 나래 블루버드,창원 LG 세이커스,1999.03.20 (토),신종석,17:58,6,2/2,100.0,0/3,0.0,2/5,40.0,2/2,100.0,1,2,3,0,0,0,0,0,2,0,0
원주 나래 블루버드,창원 LG 세이커스,1999.03.20 (토),데릭 존슨,39:5,18,7/9,77.8,0/0,0,7/9,77.8,4/5,80.0,4,9,13,1,2,4,1,2,2,0,0
원주 나래 블루버드,창원 LG 세이커스,1999.03.20 (토),토니 해리스,40:0,10,5/7,71.4,0/3,0.0,5/10,50.0,0/0,0,3,4,7,2,4,5,4,0,4,0,0
원주 나래 블루버드,창원 LG 세이커스,1999.03.20 (토),정한신,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 나래 블루버드,창원 LG 세이커스,1999.03.20 (토),이흥섭,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 나래 블루버드,창원 LG 세이커스,1999.03.20 (토),김승기,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
