Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
울산 현대모비스 피버스,인천 전자랜드 엘리펀츠,2019.10.05 (토),양동근,27:34,14,2/4,50.0,2/7,28.6,4/11,36.4,4/4,100.0,1,2,3,0,4,3,1,0,5,6,1
울산 현대모비스 피버스,인천 전자랜드 엘리펀츠,2019.10.05 (토),오용준,35:26,7,1/2,50.0,1/3,33.3,2/5,40.0,2/2,100.0,0,4,4,0,1,0,0,0,2,2,0
울산 현대모비스 피버스,인천 전자랜드 엘리펀츠,2019.10.05 (토),함지훈,31:4,9,3/6,50.0,0/1,0.0,3/7,42.9,3/4,75.0,4,3,7,0,2,2,0,0,0,4,3
울산 현대모비스 피버스,인천 전자랜드 엘리펀츠,2019.10.05 (토),최지훈,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,인천 전자랜드 엘리펀츠,2019.10.05 (토),라건아,26:11,23,10/12,83.3,0/1,0.0,10/13,76.9,3/4,75.0,4,10,14,0,2,0,0,4,0,3,7
울산 현대모비스 피버스,인천 전자랜드 엘리펀츠,2019.10.05 (토),박경상,12:5,2,0/1,0.0,0/1,0.0,0/2,0.0,2/2,100.0,1,2,3,0,0,0,0,0,0,1,0
울산 현대모비스 피버스,인천 전자랜드 엘리펀츠,2019.10.05 (토),이대성,27:55,10,2/10,20.0,2/11,18.2,4/21,19.0,0/0,0,0,2,2,0,6,4,1,0,2,0,1
울산 현대모비스 피버스,인천 전자랜드 엘리펀츠,2019.10.05 (토),배수용,8:56,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,1,1,0,0,0,0,0,3,0,0
울산 현대모비스 피버스,인천 전자랜드 엘리펀츠,2019.10.05 (토),손홍준,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,인천 전자랜드 엘리펀츠,2019.10.05 (토),서명진,17:0,6,0/1,0.0,2/5,40.0,2/6,33.3,0/0,0,1,2,3,0,2,0,1,0,0,0,0
울산 현대모비스 피버스,인천 전자랜드 엘리펀츠,2019.10.05 (토),자코리 윌리엄스,13:49,10,5/8,62.5,0/0,0,5/8,62.5,0/0,0,3,2,5,0,0,1,0,0,3,1,5
인천 전자랜드 엘리펀츠,울산 현대모비스 피버스,2019.10.05 (토),민성주,11:59,2,1/3,33.3,0/0,0,1/3,33.3,0/0,0,1,3,4,0,1,0,0,0,4,0,0
인천 전자랜드 엘리펀츠,울산 현대모비스 피버스,2019.10.05 (토),박찬희,29:20,9,3/5,60.0,1/3,33.3,4/8,50.0,0/0,0,0,4,4,0,5,0,2,0,3,0,3
