Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
안양 KGC 인삼공사,고양 오리온스,2013.03.22 (금),김성철,18:8,0,0/2,0.0,0/0,0,0/2,0.0,0/0,0,1,3,4,0,0,1,1,0,0,0,0
안양 KGC 인삼공사,고양 오리온스,2013.03.22 (금),은희석,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,고양 오리온스,2013.03.22 (금),양희종,26:4,2,1/3,33.3,0/1,0.0,1/4,25.0,0/0,0,1,2,3,0,0,0,1,1,1,0,1
안양 KGC 인삼공사,고양 오리온스,2013.03.22 (금),김태술,30:57,12,4/5,80.0,0/2,0.0,4/7,57.1,4/7,57.1,0,2,2,0,2,1,3,1,2,0,2
안양 KGC 인삼공사,고양 오리온스,2013.03.22 (금),정휘량,17:41,7,1/2,50.0,1/2,50.0,2/4,50.0,2/2,100.0,0,1,1,0,0,0,0,0,1,0,0
안양 KGC 인삼공사,고양 오리온스,2013.03.22 (금),이정현,34:20,13,3/9,33.3,2/6,33.3,5/15,33.3,1/2,50.0,2,4,6,0,2,4,0,1,2,0,3
안양 KGC 인삼공사,고양 오리온스,2013.03.22 (금),최현민,22:19,12,2/4,50.0,1/4,25.0,3/8,37.5,5/5,100.0,1,1,2,0,0,2,0,0,2,0,2
안양 KGC 인삼공사,고양 오리온스,2013.03.22 (금),후안 파틸로,19:20,12,6/11,54.5,0/0,0,6/11,54.5,0/0,0,2,5,7,0,1,1,2,3,3,0,0
안양 KGC 인삼공사,고양 오리온스,2013.03.22 (금),키브웨 트림,20:40,2,1/2,50.0,0/0,0,1/2,50.0,0/0,0,4,0,4,0,1,3,1,0,4,0,1
안양 KGC 인삼공사,고양 오리온스,2013.03.22 (금),이원대,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,고양 오리온스,2013.03.22 (금),김윤태,10:31,0,0/1,0.0,0/1,0.0,0/2,0.0,0/0,0,0,1,1,0,0,1,0,0,1,0,0
