Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
대전 현대 다이냇,창원 LG 세이커스,1998.11.08 (일),김상준,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대전 현대 다이냇,창원 LG 세이커스,1998.11.08 (일),김지홍,3:47,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0
대전 현대 다이냇,창원 LG 세이커스,1998.11.08 (일),박재현,0:46,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0
대전 현대 다이냇,창원 LG 세이커스,1998.11.08 (일),이상민,39:14,18,4/5,80.0,2/7,28.6,6/12,50.0,4/4,100.0,2,5,7,0,4,5,2,0,3,0,0
대전 현대 다이냇,창원 LG 세이커스,1998.11.08 (일),조성원,37:15,17,3/7,42.9,3/9,33.3,6/16,37.5,2/2,100.0,0,1,1,0,1,0,2,0,1,0,0
대전 현대 다이냇,창원 LG 세이커스,1998.11.08 (일),추승균,28:59,14,5/7,71.4,1/3,33.3,6/10,60.0,1/4,25.0,0,2,2,0,2,1,0,0,4,0,0
대전 현대 다이냇,창원 LG 세이커스,1998.11.08 (일),김재훈,11:33,2,1/1,100.0,0/2,0.0,1/3,33.3,0/0,0,0,0,0,0,0,0,0,0,1,0,0
대전 현대 다이냇,창원 LG 세이커스,1998.11.08 (일),조니 맥도웰,38:31,32,11/17,64.7,1/1,100.0,12/18,66.7,7/10,70.0,7,8,15,0,2,4,2,1,4,0,0
대전 현대 다이냇,창원 LG 세이커스,1998.11.08 (일),박영진,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대전 현대 다이냇,창원 LG 세이커스,1998.11.08 (일),재키 존스,24:21,6,3/3,100.0,0/1,0.0,3/4,75.0,0/0,0,2,4,6,0,0,6,0,4,4,0,0
대전 현대 다이냇,창원 LG 세이커스,1998.11.08 (일),유도훈,11:56,1,0/0,0,0/2,0.0,0/2,0.0,1/1,100.0,0,2,2,0,1,0,0,0,0,0,0
대전 현대 다이냇,창원 LG 세이커스,1998.11.08 (일),이지승,3:38,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0
창원 LG 세이커스,대전 현대 다이냇,1998.11.08 (일),윤호영,32:14,10,2/7,28.6,2/4,50.0,4/11,36.4,0/0,0,0,1,1,0,3,2,1,0,4,0,0
창원 LG 세이커스,대전 현대 다이냇,1998.11.08 (일),박수호,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
창원 LG 세이커스,대전 현대 다이냇,1998.11.08 (일),정구근,0:44,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0
창원 LG 세이커스,대전 현대 다이냇,1998.11.08 (일),박규현,36:46,17,4/6,66.7,3/6,50.0,7/12,58.3,0/0,0,2,3,5,0,2,3,0,0,5,0,0
창원 LG 세이커스,대전 현대 다이냇,1998.11.08 (일),박훈근,31:23,4,2/6,33.3,0/2,0.0,2/8,25.0,0/3,0.0,0,2,2,0,0,3,1,0,3,0,0
