Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
전주 KCC 이지스,고양 오리온 오리온스,2019.03.23 (토),이현민,17:37,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,1,1,2,0,1,1,1,0,3,1,0
전주 KCC 이지스,고양 오리온 오리온스,2019.03.23 (토),하승진,32:34,9,4/5,80.0,0/0,0,4/5,80.0,1/3,33.3,4,3,7,0,1,2,1,0,1,4,4
전주 KCC 이지스,고양 오리온 오리온스,2019.03.23 (토),전태풍,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,고양 오리온 오리온스,2019.03.23 (토),송창용,10:18,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,고양 오리온 오리온스,2019.03.23 (토),이정현,39:59,26,5/11,45.5,3/8,37.5,8/19,42.1,7/8,87.5,0,5,5,0,3,2,0,1,3,5,5
전주 KCC 이지스,고양 오리온 오리온스,2019.03.23 (토),정희재,4:7,0,0/1,0.0,0/1,0.0,0/2,0.0,0/0,0,1,1,2,0,0,0,1,0,1,0,0
전주 KCC 이지스,고양 오리온 오리온스,2019.03.23 (토),김민구,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,고양 오리온 오리온스,2019.03.23 (토),송교창,35:24,17,7/12,58.3,0/0,0,7/12,58.3,3/4,75.0,3,3,6,1,2,1,0,1,1,2,6
전주 KCC 이지스,고양 오리온 오리온스,2019.03.23 (토),최승욱,0:1,0,0/0,0,0/0,0,0/0,0,0/0,0,1,0,1,0,0,0,0,0,0,0,0
전주 KCC 이지스,고양 오리온 오리온스,2019.03.23 (토),김국찬,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,고양 오리온 오리온스,2019.03.23 (토),브랜든 브라운,37:37,33,14/20,70.0,0/0,0,14/20,70.0,5/6,83.3,5,12,17,0,2,2,3,0,2,6,14
전주 KCC 이지스,고양 오리온 오리온스,2019.03.23 (토),마커스 킨,22:23,9,2/7,28.6,1/5,20.0,3/12,25.0,2/3,66.7,0,4,4,0,5,2,2,0,2,2,2
고양 오리온 오리온스,전주 KCC 이지스,2019.03.23 (토),박상오,10:26,5,2/4,50.0,0/0,0,2/4,50.0,1/1,100.0,1,2,3,0,0,1,0,0,1,2,2
고양 오리온 오리온스,전주 KCC 이지스,2019.03.23 (토),김강선,5:43,3,0/1,0.0,1/1,100.0,1/2,50.0,0/0,0,0,0,0,0,2,0,0,0,1,0,0
고양 오리온 오리온스,전주 KCC 이지스,2019.03.23 (토),허일영,35:40,23,1/6,16.7,7/8,87.5,8/14,57.1,0/0,0,3,5,8,0,0,1,2,0,1,2,0
고양 오리온 오리온스,전주 KCC 이지스,2019.03.23 (토),최진수,30:0,2,1/3,33.3,0/3,0.0,1/6,16.7,0/0,0,1,2,3,0,1,1,1,0,4,1,1
고양 오리온 오리온스,전주 KCC 이지스,2019.03.23 (토),함준후,7:51,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,1,1,0,0,1,0,0
고양 오리온 오리온스,전주 KCC 이지스,2019.03.23 (토),임종일,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
고양 오리온 오리온스,전주 KCC 이지스,2019.03.23 (토),박재현,17:15,10,1/4,25.0,2/4,50.0,3/8,37.5,2/2,100.0,0,2,2,0,5,2,1,0,2,3,1
고양 오리온 오리온스,전주 KCC 이지스,2019.03.23 (토),한호빈,5:42,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,0,0,0,2,1,0,0,0,0,0
고양 오리온 오리온스,전주 KCC 이지스,2019.03.23 (토),최승욱,0:10,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
고양 오리온 오리온스,전주 KCC 이지스,2019.03.23 (토),이승현,32:33,6,3/6,50.0,0/3,0.0,3/9,33.3,0/0,0,0,1,1,0,3,0,0,0,5,1,2
고양 오리온 오리온스,전주 KCC 이지스,2019.03.23 (토),대릴 먼로,36:31,24,10/17,58.8,1/2,50.0,11/19,57.9,1/1,100.0,4,6,10,0,4,0,0,0,2,4,9
고양 오리온 오리온스,전주 KCC 이지스,2019.03.23 (토),조쉬 에코이언,18:9,14,1/3,33.3,4/9,44.4,5/12,41.7,0/0,0,0,3,3,0,2,2,3,0,3,0,0
창원 LG 세이커스,부산 KT 소닉붐,2019.03.24 (일),조성민,36:19,1,0/0,0,0/2,0.0,0/2,0.0,1/2,50.0,0,1,1,0,2,0,1,0,3,2,0
창원 LG 세이커스,부산 KT 소닉붐,2019.03.24 (일),강병현,37:17,11,2/2,100.0,2/3,66.7,4/5,80.0,1/1,100.0,1,7,8,0,0,0,0,0,4,2,2
창원 LG 세이커스,부산 KT 소닉붐,2019.03.24 (일),양우섭,2:9,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,1,0,1,0,1,0,0,0,1,0,0
