Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
서울 SK 나이츠,원주 DB 프로미,2018.10.13 (토),김민수,26:37,20,4/11,36.4,4/6,66.7,8/17,47.1,0/0,0,3,6,9,0,1,5,1,1,1,3,2
서울 SK 나이츠,원주 DB 프로미,2018.10.13 (토),정재홍,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 SK 나이츠,원주 DB 프로미,2018.10.13 (토),변기훈,8:26,0,0/2,0.0,0/1,0.0,0/3,0.0,0/2,0.0,0,1,1,0,2,0,0,0,2,1,0
서울 SK 나이츠,원주 DB 프로미,2018.10.13 (토),김선형,21:11,12,1/4,25.0,2/4,50.0,3/8,37.5,4/4,100.0,2,3,5,0,2,0,1,0,0,3,1
서울 SK 나이츠,원주 DB 프로미,2018.10.13 (토),최부경,20:6,8,2/7,28.6,0/0,0,2/7,28.6,4/6,66.7,1,2,3,0,1,2,0,0,1,5,1
서울 SK 나이츠,원주 DB 프로미,2018.10.13 (토),김건우,1:41,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 SK 나이츠,원주 DB 프로미,2018.10.13 (토),리온 윌리엄스,28:7,18,8/10,80.0,0/0,0,8/10,80.0,2/2,100.0,4,5,9,0,3,1,1,2,3,3,8
서울 SK 나이츠,원주 DB 프로미,2018.10.13 (토),이현석,10:12,0,0/1,0.0,0/1,0.0,0/2,0.0,0/0,0,0,1,1,0,0,0,0,0,0,1,0
서울 SK 나이츠,원주 DB 프로미,2018.10.13 (토),최원혁,20:43,0,0/0,0,0/0,0,0/0,0,0/2,0.0,0,1,1,0,4,0,0,1,2,3,0
서울 SK 나이츠,원주 DB 프로미,2018.10.13 (토),류영환,5:10,1,0/0,0,0/0,0,0/0,0,1/2,50.0,0,1,1,0,1,0,0,0,0,1,0
서울 SK 나이츠,원주 DB 프로미,2018.10.13 (토),오데리언 바셋,21:27,11,1/4,25.0,3/4,75.0,4/8,50.0,0/0,0,0,6,6,0,2,1,0,0,0,0,0
