Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
대전 현대 걸리버스,인천 신세기 빅스,2000.11.04 (토),권종오,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대전 현대 걸리버스,인천 신세기 빅스,2000.11.04 (토),토시로 저머니,33:53,18,9/14,64.3,0/0,0,9/14,64.3,0/1,0.0,5,9,14,0,1,2,0,0,4,0,0
대전 현대 걸리버스,인천 신세기 빅스,2000.11.04 (토),구본근,1:21,2,1/1,100.0,0/0,0,1/1,100.0,0/0,0,0,1,1,0,0,0,0,0,1,0,0
대전 현대 걸리버스,인천 신세기 빅스,2000.11.04 (토),최명도,9:41,3,0/0,0,1/3,33.3,1/3,33.3,0/0,0,0,0,0,0,1,0,1,0,3,0,0
대전 현대 걸리버스,인천 신세기 빅스,2000.11.04 (토),이세범,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대전 현대 걸리버스,인천 신세기 빅스,2000.11.04 (토),이상민,35:29,11,4/5,80.0,0/3,0.0,4/8,50.0,3/4,75.0,2,7,9,0,6,5,2,0,5,0,0
대전 현대 걸리버스,인천 신세기 빅스,2000.11.04 (토),추승균,37:57,23,10/15,66.7,0/3,0.0,10/18,55.6,3/5,60.0,1,3,4,0,2,2,1,1,4,0,0
대전 현대 걸리버스,인천 신세기 빅스,2000.11.04 (토),정훈종,4:41,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,1,0,0,2,0,0
대전 현대 걸리버스,인천 신세기 빅스,2000.11.04 (토),강대협,3:45,2,1/2,50.0,0/0,0,1/2,50.0,0/0,0,0,0,0,0,0,1,0,0,0,0,0
대전 현대 걸리버스,인천 신세기 빅스,2000.11.04 (토),정재근,37:18,11,4/10,40.0,0/1,0.0,4/11,36.4,3/4,75.0,2,5,7,0,2,4,1,1,4,0,0
대전 현대 걸리버스,인천 신세기 빅스,2000.11.04 (토),양희승,31:28,11,2/7,28.6,0/3,0.0,2/10,20.0,7/7,100.0,1,0,1,0,1,0,1,0,4,0,0
대전 현대 걸리버스,인천 신세기 빅스,2000.11.04 (토),이지승,4:27,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 신세기 빅스,대전 현대 걸리버스,2000.11.04 (토),전수훈,8:1,0,0/1,0.0,0/1,0.0,0/2,0.0,0/0,0,1,0,1,0,1,0,0,1,1,0,0
인천 신세기 빅스,대전 현대 걸리버스,2000.11.04 (토),박규훈,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 신세기 빅스,대전 현대 걸리버스,2000.11.04 (토),캔드릭 브룩스,40:0,52,4/8,50.0,8/13,61.5,12/21,57.1,20/22,90.9,2,3,5,0,4,4,0,0,3,0,0
