Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
서울 SK 나이츠,울산 현대모비스 피버스,2020.10.09 (금),송창무,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 SK 나이츠,울산 현대모비스 피버스,2020.10.09 (금),김민수,17:28,5,1/3,33.3,1/2,50.0,2/5,40.0,0/0,0,1,4,5,1,0,1,0,0,3,2,1
서울 SK 나이츠,울산 현대모비스 피버스,2020.10.09 (금),양우섭,16:23,4,2/3,66.7,0/1,0.0,2/4,50.0,0/0,0,0,2,2,0,0,1,1,0,0,0,3
서울 SK 나이츠,울산 현대모비스 피버스,2020.10.09 (금),변기훈,16:6,2,1/1,100.0,0/2,0.0,1/3,33.3,0/0,0,3,0,3,0,1,1,0,0,1,1,1
서울 SK 나이츠,울산 현대모비스 피버스,2020.10.09 (금),김선형,25:1,25,7/13,53.8,3/3,100.0,10/16,62.5,2/2,100.0,1,4,5,0,3,0,1,0,2,2,6
서울 SK 나이츠,울산 현대모비스 피버스,2020.10.09 (금),최부경,22:32,0,0/2,0.0,0/0,0,0/2,0.0,0/0,0,1,3,4,0,2,1,2,0,1,5,0
서울 SK 나이츠,울산 현대모비스 피버스,2020.10.09 (금),김건우,22:11,12,0/0,0,4/7,57.1,4/7,57.1,0/0,0,0,0,0,0,1,0,0,0,4,0,0
서울 SK 나이츠,울산 현대모비스 피버스,2020.10.09 (금),배병준,4:51,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,0,0,0,1,0,0,0,0,0,0
서울 SK 나이츠,울산 현대모비스 피버스,2020.10.09 (금),최준용,14:27,4,2/3,66.7,0/2,0.0,2/5,40.0,0/0,0,2,3,5,0,3,4,0,1,0,0,2
서울 SK 나이츠,울산 현대모비스 피버스,2020.10.09 (금),최성원,21:1,3,0/1,0.0,1/1,100.0,1/2,50.0,0/0,0,0,1,1,0,2,0,1,0,2,2,0
서울 SK 나이츠,울산 현대모비스 피버스,2020.10.09 (금),닉 미네라스,14:14,10,2/7,28.6,0/1,0.0,2/8,25.0,6/7,85.7,1,4,5,0,1,1,0,0,0,5,2
서울 SK 나이츠,울산 현대모비스 피버스,2020.10.09 (금),자밀 워니,25:46,23,7/16,43.8,2/6,33.3,9/22,40.9,3/4,75.0,2,5,7,0,1,3,0,0,0,2,7
울산 현대모비스 피버스,서울 SK 나이츠,2020.10.09 (금),이현민,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,서울 SK 나이츠,2020.10.09 (금),함지훈,13:33,6,2/3,66.7,0/0,0,2/3,66.7,2/2,100.0,1,0,1,0,0,0,2,1,0,1,2
울산 현대모비스 피버스,서울 SK 나이츠,2020.10.09 (금),기승호,24:21,2,1/1,100.0,0/2,0.0,1/3,33.3,0/0,0,2,5,7,0,1,2,1,0,0,0,1
울산 현대모비스 피버스,서울 SK 나이츠,2020.10.09 (금),장재석,20:7,18,8/10,80.0,0/0,0,8/10,80.0,2/3,66.7,0,4,4,0,1,3,1,2,3,3,6
울산 현대모비스 피버스,서울 SK 나이츠,2020.10.09 (금),김상규,5:26,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,1,0,0,0,0,0
울산 현대모비스 피버스,서울 SK 나이츠,2020.10.09 (금),전준범,20:4,10,3/3,100.0,0/3,0.0,3/6,50.0,4/4,100.0,1,2,3,0,3,0,0,0,4,2,3
울산 현대모비스 피버스,서울 SK 나이츠,2020.10.09 (금),김민구,26:13,5,1/1,100.0,1/5,20.0,2/6,33.3,0/0,0,0,5,5,0,7,1,4,0,2,2,1
울산 현대모비스 피버스,서울 SK 나이츠,2020.10.09 (금),이종현,6:20,0,0/3,0.0,0/0,0,0/3,0.0,0/0,0,1,0,1,0,0,0,0,0,4,0,0
울산 현대모비스 피버스,서울 SK 나이츠,2020.10.09 (금),김국찬,30:9,11,3/5,60.0,1/7,14.3,4/12,33.3,2/2,100.0,1,0,1,0,2,0,3,0,0,2,2
울산 현대모비스 피버스,서울 SK 나이츠,2020.10.09 (금),서명진,13:47,2,1/1,100.0,0/1,0.0,1/2,50.0,0/0,0,0,0,0,0,4,0,0,0,1,0,1
울산 현대모비스 피버스,서울 SK 나이츠,2020.10.09 (금),숀 롱,15:48,8,3/5,60.0,0/1,0.0,3/6,50.0,2/2,100.0,0,2,2,0,1,1,0,0,2,1,3
울산 현대모비스 피버스,서울 SK 나이츠,2020.10.09 (금),자키넌 간트,24:12,23,7/11,63.6,3/6,50.0,10/17,58.8,0/2,0.0,0,8,8,2,1,2,0,2,3,2,7
원주 DB 프로미,서울 삼성 썬더스,2020.10.09 (금),윤호영,19:44,6,3/4,75.0,0/0,0,3/4,75.0,0/0,0,0,2,2,0,4,1,2,2,0,0,3
원주 DB 프로미,서울 삼성 썬더스,2020.10.09 (금),김태홍,16:30,0,0/1,0.0,0/1,0.0,0/2,0.0,0/0,0,0,0,0,0,1,1,0,0,0,0,0
원주 DB 프로미,서울 삼성 썬더스,2020.10.09 (금),두경민,26:53,15,4/5,80.0,2/8,25.0,6/13,46.2,1/1,100.0,0,2,2,0,7,4,1,0,2,2,1
원주 DB 프로미,서울 삼성 썬더스,2020.10.09 (금),김종규,26:59,18,6/7,85.7,2/3,66.7,8/10,80.0,0/0,0,2,2,4,1,1,0,1,0,2,2,4
원주 DB 프로미,서울 삼성 썬더스,2020.10.09 (금),허웅,26:20,19,3/4,75.0,2/4,50.0,5/8,62.5,7/9,77.8,1,4,5,0,2,1,2,0,2,6,3
원주 DB 프로미,서울 삼성 썬더스,2020.10.09 (금),김영훈,9:10,2,0/0,0,0/0,0,0/0,0,2/3,66.7,0,1,1,0,0,1,0,0,0,4,0
원주 DB 프로미,서울 삼성 썬더스,2020.10.09 (금),배강률,13:1,8,1/2,50.0,1/3,33.3,2/5,40.0,3/6,50.0,0,3,3,0,0,1,1,2,1,3,1
원주 DB 프로미,서울 삼성 썬더스,2020.10.09 (금),맹상훈,4:30,0,0/0,0,0/0,0,0/0,0,0/0,0,0,1,1,0,1,0,0,0,1,0,0
원주 DB 프로미,서울 삼성 썬더스,2020.10.09 (금),서현석,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 DB 프로미,서울 삼성 썬더스,2020.10.09 (금),나카무라 타이치,16:53,8,2/2,100.0,1/4,25.0,3/6,50.0,1/1,100.0,0,0,0,0,3,0,1,0,1,1,2
원주 DB 프로미,서울 삼성 썬더스,2020.10.09 (금),타이릭 존스,20:47,9,4/9,44.4,0/0,0,4/9,44.4,1/2,50.0,1,4,5,3,0,0,1,0,1,1,3
원주 DB 프로미,서울 삼성 썬더스,2020.10.09 (금),저스틴 녹스,19:13,12,4/6,66.7,0/1,0.0,4/7,57.1,4/4,100.0,1,5,6,0,1,2,0,0,3,4,4
서울 삼성 썬더스,원주 DB 프로미,2020.10.09 (금),김동욱,4:1,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 삼성 썬더스,원주 DB 프로미,2020.10.09 (금),이관희,21:38,10,3/5,60.0,1/3,33.3,4/8,50.0,1/2,50.0,0,2,2,0,3,4,2,0,2,1,2
서울 삼성 썬더스,원주 DB 프로미,2020.10.09 (금),장민국,13:43,8,1/2,50.0,2/3,66.7,3/5,60.0,0/0,0,1,0,1,0,1,1,0,0,5,1,0
서울 삼성 썬더스,원주 DB 프로미,2020.10.09 (금),김현수,17:2,11,1/4,25.0,3/3,100.0,4/7,57.1,0/0,0,0,3,3,0,0,0,1,0,1,1,0
서울 삼성 썬더스,원주 DB 프로미,2020.10.09 (금),임동섭,29:54,15,2/3,66.7,3/8,37.5,5/11,45.5,2/2,100.0,2,3,5,0,2,1,1,0,1,3,1
서울 삼성 썬더스,원주 DB 프로미,2020.10.09 (금),배수용,14:6,6,0/0,0,2/4,50.0,2/4,50.0,0/0,0,1,3,4,0,3,1,0,1,4,1,0
서울 삼성 썬더스,원주 DB 프로미,2020.10.09 (금),김준일,19:36,10,5/7,71.4,0/0,0,5/7,71.4,0/0,0,0,4,4,0,1,3,0,1,3,0,4
서울 삼성 썬더스,원주 DB 프로미,2020.10.09 (금),이호현,14:50,2,1/1,100.0,0/0,0,1/1,100.0,0/0,0,0,0,0,0,6,2,0,0,1,0,0
서울 삼성 썬더스,원주 DB 프로미,2020.10.09 (금),김광철,2:23,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,1,0,0,0,1,0
서울 삼성 썬더스,원주 DB 프로미,2020.10.09 (금),김진영,22:47,7,2/4,50.0,1/3,33.3,3/7,42.9,0/0,0,1,3,4,1,5,1,1,0,1,2,2
서울 삼성 썬더스,원주 DB 프로미,2020.10.09 (금),아이제아 힉스,20:55,15,3/5,60.0,3/5,60.0,6/10,60.0,0/1,0.0,1,1,2,0,4,0,1,1,3,3,2
서울 삼성 썬더스,원주 DB 프로미,2020.10.09 (금),제시 고반,19:5,6,3/8,37.5,0/1,0.0,3/9,33.3,0/0,0,0,4,4,0,1,0,1,0,2,0,2
안양 KGC 인삼공사,인천 전자랜드 엘리펀츠,2020.10.09 (금),양희종,16:19,0,0/0,0,0/2,0.0,0/2,0.0,0/0,0,0,1,1,0,3,1,0,0,3,1,0
안양 KGC 인삼공사,인천 전자랜드 엘리펀츠,2020.10.09 (금),함준후,10:14,3,0/1,0.0,1/1,100.0,1/2,50.0,0/0,0,1,0,1,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,인천 전자랜드 엘리펀츠,2020.10.09 (금),오세근,23:21,8,4/9,44.4,0/0,0,4/9,44.4,0/1,0.0,0,5,5,0,3,3,0,0,2,3,4
안양 KGC 인삼공사,인천 전자랜드 엘리펀츠,2020.10.09 (금),문성곤,23:47,8,1/3,33.3,2/4,50.0,3/7,42.9,0/0,0,2,2,4,0,1,1,0,0,5,1,1
안양 KGC 인삼공사,인천 전자랜드 엘리펀츠,2020.10.09 (금),전성현,26:53,23,1/4,25.0,6/9,66.7,7/13,53.8,3/3,100.0,2,0,2,0,1,0,1,0,1,3,1
안양 KGC 인삼공사,인천 전자랜드 엘리펀츠,2020.10.09 (금),이재도,30:26,12,3/4,75.0,2/3,66.7,5/7,71.4,0/0,0,1,3,4,0,5,1,2,0,2,5,2
안양 KGC 인삼공사,인천 전자랜드 엘리펀츠,2020.10.09 (금),김철욱,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,인천 전자랜드 엘리펀츠,2020.10.09 (금),우동현,2:21,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0
안양 KGC 인삼공사,인천 전자랜드 엘리펀츠,2020.10.09 (금),변준형,23:7,10,3/4,75.0,1/4,25.0,4/8,50.0,1/2,50.0,1,0,1,0,1,1,0,0,3,3,3
안양 KGC 인삼공사,인천 전자랜드 엘리펀츠,2020.10.09 (금),김경원,3:32,2,1/1,100.0,0/0,0,1/1,100.0,0/0,0,1,0,1,0,0,0,0,0,1,0,1
안양 KGC 인삼공사,인천 전자랜드 엘리펀츠,2020.10.09 (금),얼 클락,24:23,20,6/12,50.0,2/7,28.6,8/19,42.1,2/5,40.0,1,6,7,1,4,1,1,1,4,3,6
안양 KGC 인삼공사,인천 전자랜드 엘리펀츠,2020.10.09 (금),라타비우스 윌리엄스,15:37,10,4/5,80.0,0/0,0,4/5,80.0,2/3,66.7,1,4,5,1,1,2,0,0,2,2,4
인천 전자랜드 엘리펀츠,안양 KGC 인삼공사,2020.10.09 (금),정영삼,22:51,14,3/4,75.0,1/1,100.0,4/5,80.0,5/5,100.0,2,1,3,0,0,2,1,0,4,4,3
인천 전자랜드 엘리펀츠,안양 KGC 인삼공사,2020.10.09 (금),민성주,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 전자랜드 엘리펀츠,안양 KGC 인삼공사,2020.10.09 (금),박찬희,12:33,4,1/2,50.0,0/0,0,1/2,50.0,2/4,50.0,0,2,2,0,5,0,0,0,1,3,1
인천 전자랜드 엘리펀츠,안양 KGC 인삼공사,2020.10.09 (금),홍경기,0:36,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 전자랜드 엘리펀츠,안양 KGC 인삼공사,2020.10.09 (금),차바위,30:48,9,0/1,0.0,3/6,50.0,3/7,42.9,0/0,0,1,2,3,0,2,0,1,1,2,1,0
인천 전자랜드 엘리펀츠,안양 KGC 인삼공사,2020.10.09 (금),이대헌,31:2,12,4/6,66.7,0/1,0.0,4/7,57.1,4/9,44.4,0,5,5,0,2,1,1,1,3,5,3
인천 전자랜드 엘리펀츠,안양 KGC 인삼공사,2020.10.09 (금),임준수,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 전자랜드 엘리펀츠,안양 KGC 인삼공사,2020.10.09 (금),김낙현,27:27,12,2/8,25.0,2/7,28.6,4/15,26.7,2/2,100.0,0,1,1,0,6,0,1,0,3,4,2
인천 전자랜드 엘리펀츠,안양 KGC 인삼공사,2020.10.09 (금),전현우,27:44,11,1/1,100.0,3/6,50.0,4/7,57.1,0/0,0,1,1,2,0,0,1,0,0,1,0,1
인천 전자랜드 엘리펀츠,안양 KGC 인삼공사,2020.10.09 (금),양재혁,6:59,3,0/0,0,1/1,100.0,1/1,100.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 전자랜드 엘리펀츠,안양 KGC 인삼공사,2020.10.09 (금),헨리 심스,17:59,15,6/9,66.7,0/0,0,6/9,66.7,3/4,75.0,2,6,8,0,2,3,0,1,2,3,4
