Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
안양 SBS 스타즈,인천 대우증권 제우스,1997.02.01 (토),전경배,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 SBS 스타즈,인천 대우증권 제우스,1997.02.01 (토),표필상,18:0,6,2/3,66.7,0/0,0,2/3,66.7,2/2,100.0,0,2,2,0,1,1,1,0,4,0,0
안양 SBS 스타즈,인천 대우증권 제우스,1997.02.01 (토),안병익,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 SBS 스타즈,인천 대우증권 제우스,1997.02.01 (토),박성수,5:0,0,0/0,0,0/0,0,0/0,0,0/2,0.0,0,0,0,0,0,0,1,0,4,0,0
안양 SBS 스타즈,인천 대우증권 제우스,1997.02.01 (토),박수호,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 SBS 스타즈,인천 대우증권 제우스,1997.02.01 (토),문필호,5:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,1,0,0,0,0
안양 SBS 스타즈,인천 대우증권 제우스,1997.02.01 (토),김재열,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 SBS 스타즈,인천 대우증권 제우스,1997.02.01 (토),데이먼 존슨,39:0,25,9/12,75.0,0/0,0,9/12,75.0,7/8,87.5,0,5,5,0,0,4,4,0,4,0,0
안양 SBS 스타즈,인천 대우증권 제우스,1997.02.01 (토),제럴드 워커,40:0,22,7/20,35.0,2/6,33.3,9/26,34.6,2/2,100.0,0,6,6,0,10,2,8,0,2,0,0
안양 SBS 스타즈,인천 대우증권 제우스,1997.02.01 (토),이상범,33:0,7,1/2,50.0,1/5,20.0,2/7,28.6,2/2,100.0,0,1,1,0,0,2,4,0,2,0,0
안양 SBS 스타즈,인천 대우증권 제우스,1997.02.01 (토),정재근,23:0,23,7/9,77.8,1/2,50.0,8/11,72.7,6/6,100.0,1,4,5,0,1,2,0,0,5,0,0
안양 SBS 스타즈,인천 대우증권 제우스,1997.02.01 (토),오성식,37:0,25,6/9,66.7,3/4,75.0,9/13,69.2,4/5,80.0,0,2,2,0,1,2,2,0,2,0,0
인천 대우증권 제우스,안양 SBS 스타즈,1997.02.01 (토),김성헌,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 대우증권 제우스,안양 SBS 스타즈,1997.02.01 (토),김훈,35:0,16,4/7,57.1,2/6,33.3,6/13,46.2,2/2,100.0,1,1,2,0,1,0,1,0,3,0,0
인천 대우증권 제우스,안양 SBS 스타즈,1997.02.01 (토),이원혁,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 대우증권 제우스,안양 SBS 스타즈,1997.02.01 (토),구장환,14:0,2,1/2,50.0,0/0,0,1/2,50.0,0/0,0,1,0,1,0,0,0,1,0,3,0,0
인천 대우증권 제우스,안양 SBS 스타즈,1997.02.01 (토),주영준,9:0,3,0/0,0,1/1,100.0,1/1,100.0,0/0,0,0,0,0,0,0,0,2,0,0,0,0
