Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
서울 SK 나이츠,안양 KGC 인삼공사,2022.10.15 (토),허일영,32:33,9,3/4,75.0,1/3,33.3,4/7,57.1,0/0,0,0,4,4,0,1,0,1,0,2,1,2
서울 SK 나이츠,안양 KGC 인삼공사,2022.10.15 (토),김선형,31:49,18,5/10,50.0,2/6,33.3,7/16,43.8,2/4,50.0,1,1,2,0,7,5,3,0,3,4,5
서울 SK 나이츠,안양 KGC 인삼공사,2022.10.15 (토),홍경기,19:5,7,1/1,100.0,1/2,50.0,2/3,66.7,2/3,66.7,0,0,0,0,1,0,0,0,0,2,1
서울 SK 나이츠,안양 KGC 인삼공사,2022.10.15 (토),최부경,30:46,4,2/6,33.3,0/0,0,2/6,33.3,0/0,0,2,6,8,0,0,0,4,0,3,2,2
서울 SK 나이츠,안양 KGC 인삼공사,2022.10.15 (토),김건우,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 SK 나이츠,안양 KGC 인삼공사,2022.10.15 (토),김승원,9:14,1,0/0,0,0/0,0,0/0,0,1/2,50.0,0,0,0,0,0,0,1,0,2,1,0
서울 SK 나이츠,안양 KGC 인삼공사,2022.10.15 (토),리온 윌리엄스,4:56,4,1/1,100.0,0/1,0.0,1/2,50.0,2/2,100.0,0,1,1,0,0,0,0,0,3,2,1
서울 SK 나이츠,안양 KGC 인삼공사,2022.10.15 (토),장문호,7:27,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,1,1,0,0,0,0,0,0,0,0
서울 SK 나이츠,안양 KGC 인삼공사,2022.10.15 (토),자밀 워니,35:4,23,8/18,44.4,2/4,50.0,10/22,45.5,1/3,33.3,2,11,13,1,3,2,1,1,3,3,8
서울 SK 나이츠,안양 KGC 인삼공사,2022.10.15 (토),김형빈,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 SK 나이츠,안양 KGC 인삼공사,2022.10.15 (토),오재현,29:6,9,1/3,33.3,2/7,28.6,3/10,30.0,1/2,50.0,2,3,5,0,2,4,1,0,4,2,1
서울 SK 나이츠,안양 KGC 인삼공사,2022.10.15 (토),김수환,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,서울 SK 나이츠,2022.10.15 (토),양희종,10:56,0,0/0,0,0/0,0,0/0,0,0/0,0,0,4,4,0,0,1,0,0,1,0,0
안양 KGC 인삼공사,서울 SK 나이츠,2022.10.15 (토),오세근,30:10,17,7/13,53.8,0/0,0,7/13,53.8,3/4,75.0,0,4,4,0,6,1,0,0,2,2,4
안양 KGC 인삼공사,서울 SK 나이츠,2022.10.15 (토),정준원,4:22,0,0/1,0.0,0/1,0.0,0/2,0.0,0/0,0,0,0,0,0,1,0,0,0,0,0,0
안양 KGC 인삼공사,서울 SK 나이츠,2022.10.15 (토),배병준,25:38,13,3/4,75.0,2/3,66.7,5/7,71.4,1/2,50.0,0,4,4,0,3,1,1,0,4,2,2
안양 KGC 인삼공사,서울 SK 나이츠,2022.10.15 (토),문성곤,35:5,17,2/3,66.7,4/6,66.7,6/9,66.7,1/2,50.0,3,2,5,0,1,2,2,0,2,3,2
안양 KGC 인삼공사,서울 SK 나이츠,2022.10.15 (토),김철욱,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,서울 SK 나이츠,2022.10.15 (토),박지훈,10:56,2,1/2,50.0,0/1,0.0,1/3,33.3,0/0,0,0,1,1,0,1,2,2,0,1,0,1
안양 KGC 인삼공사,서울 SK 나이츠,2022.10.15 (토),이우정,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,서울 SK 나이츠,2022.10.15 (토),대릴 먼로,5:42,1,0/1,0.0,0/0,0,0/1,0.0,1/2,50.0,0,2,2,0,1,0,0,0,1,2,0
안양 KGC 인삼공사,서울 SK 나이츠,2022.10.15 (토),변준형,33:3,11,2/4,50.0,2/5,40.0,4/9,44.4,1/2,50.0,2,2,4,0,8,4,1,0,2,5,2
안양 KGC 인삼공사,서울 SK 나이츠,2022.10.15 (토),한승희,9:50,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,1,1,2,0,0,0,0,0,3,0,0
안양 KGC 인삼공사,서울 SK 나이츠,2022.10.15 (토),오마리 스펠맨,34:18,27,7/12,58.3,2/8,25.0,9/20,45.0,7/8,87.5,2,12,14,0,3,3,1,1,1,6,6
수원 KT 소닉붐,울산 현대모비스 피버스,2022.10.15 (토),김동욱,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
