Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
전주 KCC 이지스,원주 동부 프로미,2009.10.15 (목),이동준,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,원주 동부 프로미,2009.10.15 (목),조우현,11:24,8,1/1,100.0,2/4,50.0,3/5,60.0,0/0,0,0,0,0,0,1,1,0,1,1,0,1
전주 KCC 이지스,원주 동부 프로미,2009.10.15 (목),추승균,31:46,10,2/6,33.3,2/4,50.0,4/10,40.0,0/0,0,0,5,5,0,4,1,1,0,2,0,1
전주 KCC 이지스,원주 동부 프로미,2009.10.15 (목),강은식,7:53,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,0,0,0,0,0,0,1,5,0,0
전주 KCC 이지스,원주 동부 프로미,2009.10.15 (목),임재현,9:56,8,1/1,100.0,2/4,50.0,3/5,60.0,0/0,0,0,0,0,0,2,0,1,0,1,0,1
전주 KCC 이지스,원주 동부 프로미,2009.10.15 (목),정의한,7:0,4,2/3,66.7,0/0,0,2/3,66.7,0/0,0,0,0,0,0,1,0,0,0,2,0,2
전주 KCC 이지스,원주 동부 프로미,2009.10.15 (목),아이반 존슨,15:16,10,4/7,57.1,0/0,0,4/7,57.1,2/4,50.0,2,0,2,1,0,3,0,0,3,0,4
전주 KCC 이지스,원주 동부 프로미,2009.10.15 (목),강병현,33:48,4,0/2,0.0,0/4,0.0,0/6,0.0,4/4,100.0,0,5,5,0,4,1,2,0,5,0,0
전주 KCC 이지스,원주 동부 프로미,2009.10.15 (목),하승진,19:52,16,7/7,100.0,0/0,0,7/7,100.0,2/6,33.3,1,2,3,1,0,0,1,0,0,0,7
전주 KCC 이지스,원주 동부 프로미,2009.10.15 (목),마이카 브랜드,24:44,8,4/9,44.4,0/1,0.0,4/10,40.0,0/2,0.0,4,5,9,0,2,1,2,0,2,0,3
전주 KCC 이지스,원주 동부 프로미,2009.10.15 (목),전태풍,35:57,11,4/6,66.7,0/3,0.0,4/9,44.4,3/4,75.0,1,3,4,0,5,4,1,0,3,0,4
전주 KCC 이지스,원주 동부 프로미,2009.10.15 (목),최성근,2:24,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,1,0,0,0,0,0,0
원주 동부 프로미,전주 KCC 이지스,2009.10.15 (목),표명일,19:3,6,2/3,66.7,0/1,0.0,2/4,50.0,2/4,50.0,0,2,2,0,5,4,0,0,2,0,1
원주 동부 프로미,전주 KCC 이지스,2009.10.15 (목),김진호,5:44,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,1,1,0,0,0,0,0,0,0,0
원주 동부 프로미,전주 KCC 이지스,2009.10.15 (목),김주성,30:26,20,9/11,81.8,0/0,0,9/11,81.8,2/4,50.0,2,6,8,0,5,3,0,0,3,0,9
원주 동부 프로미,전주 KCC 이지스,2009.10.15 (목),진경석,5:10,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,1,1,0,0,0,0,0,0,0,0
원주 동부 프로미,전주 KCC 이지스,2009.10.15 (목),김성현,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 동부 프로미,전주 KCC 이지스,2009.10.15 (목),박지현,22:12,0,0/1,0.0,0/1,0.0,0/2,0.0,0/0,0,2,1,3,0,2,1,1,0,4,0,0
원주 동부 프로미,전주 KCC 이지스,2009.10.15 (목),손준영,10:14,2,1/1,100.0,0/1,0.0,1/2,50.0,0/0,0,0,0,0,0,0,0,0,0,0,0,1
원주 동부 프로미,전주 KCC 이지스,2009.10.15 (목),이광재,36:42,14,4/6,66.7,2/4,50.0,6/10,60.0,0/0,0,0,2,2,0,5,0,2,0,0,0,2
원주 동부 프로미,전주 KCC 이지스,2009.10.15 (목),마퀸 챈들러,25:18,26,6/8,75.0,2/6,33.3,8/14,57.1,8/8,100.0,0,5,5,0,3,4,0,0,2,0,4
원주 동부 프로미,전주 KCC 이지스,2009.10.15 (목),윤호영,18:8,2,1/2,50.0,0/1,0.0,1/3,33.3,0/0,0,1,4,5,0,1,0,0,0,3,0,0
원주 동부 프로미,전주 KCC 이지스,2009.10.15 (목),김명훈,12:21,5,2/3,66.7,0/0,0,2/3,66.7,1/1,100.0,0,1,1,0,0,0,0,0,4,0,2
원주 동부 프로미,전주 KCC 이지스,2009.10.15 (목),게리 윌킨슨,14:42,14,2/5,40.0,2/3,66.7,4/8,50.0,4/4,100.0,0,4,4,0,1,0,0,0,3,0,0
인천 전자랜드 엘리펀츠,서울 SK 나이츠,2009.10.16 (금),김성철,24:30,3,0/0,0,1/7,14.3,1/7,14.3,0/0,0,1,1,2,0,1,1,3,0,1,0,0
인천 전자랜드 엘리펀츠,서울 SK 나이츠,2009.10.16 (금),이홍수,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 전자랜드 엘리펀츠,서울 SK 나이츠,2009.10.16 (금),서장훈,35:7,23,9/18,50.0,1/3,33.3,10/21,47.6,2/2,100.0,1,7,8,0,2,1,0,0,4,0,6
인천 전자랜드 엘리펀츠,서울 SK 나이츠,2009.10.16 (금),황성인,28:2,5,1/2,50.0,1/5,20.0,2/7,28.6,0/0,0,0,0,0,0,4,3,1,0,1,0,1
인천 전자랜드 엘리펀츠,서울 SK 나이츠,2009.10.16 (금),이한권,15:5,3,0/1,0.0,1/2,50.0,1/3,33.3,0/0,0,1,0,1,0,0,1,0,0,3,0,0
인천 전자랜드 엘리펀츠,서울 SK 나이츠,2009.10.16 (금),임효성,0:26,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 전자랜드 엘리펀츠,서울 SK 나이츠,2009.10.16 (금),정영삼,28:54,11,3/3,100.0,1/3,33.3,4/6,66.7,2/2,100.0,1,0,1,0,3,0,2,0,3,0,3
인천 전자랜드 엘리펀츠,서울 SK 나이츠,2009.10.16 (금),크리스 다니엘스,12:18,8,2/4,50.0,0/0,0,2/4,50.0,4/4,100.0,2,1,3,0,0,1,0,1,2,0,0
