Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
안양 KGC 인삼공사,서울 삼성 썬더스,2017.10.14 (토),오용준,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,서울 삼성 썬더스,2017.10.14 (토),양희종,35:30,8,1/2,50.0,2/5,40.0,3/7,42.9,0/0,0,1,4,5,0,4,4,1,0,3,2,1
안양 KGC 인삼공사,서울 삼성 썬더스,2017.10.14 (토),강병현,21:4,8,2/5,40.0,1/4,25.0,3/9,33.3,1/2,50.0,0,0,0,0,0,0,1,0,2,2,2
안양 KGC 인삼공사,서울 삼성 썬더스,2017.10.14 (토),데이비드 사이먼,36:49,10,3/9,33.3,1/3,33.3,4/12,33.3,1/2,50.0,0,6,6,0,3,3,2,0,3,2,2
안양 KGC 인삼공사,서울 삼성 썬더스,2017.10.14 (토),오세근,36:47,15,7/13,53.8,0/0,0,7/13,53.8,1/3,33.3,2,5,7,0,1,3,1,1,3,6,6
안양 KGC 인삼공사,서울 삼성 썬더스,2017.10.14 (토),이원대,1:50,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,1,0,0,0,1,0,0
안양 KGC 인삼공사,서울 삼성 썬더스,2017.10.14 (토),김민욱,3:17,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,서울 삼성 썬더스,2017.10.14 (토),전성현,20:42,12,1/1,100.0,3/5,60.0,4/6,66.7,1/2,50.0,1,1,2,0,0,0,0,0,2,1,1
안양 KGC 인삼공사,서울 삼성 썬더스,2017.10.14 (토),김기윤,13:5,3,0/1,0.0,1/2,50.0,1/3,33.3,0/0,0,0,1,1,0,3,0,0,0,3,1,0
안양 KGC 인삼공사,서울 삼성 썬더스,2017.10.14 (토),마이클 이페브라,22:17,8,4/7,57.1,0/3,0.0,4/10,40.0,0/0,0,0,4,4,0,0,3,1,0,1,3,3
안양 KGC 인삼공사,서울 삼성 썬더스,2017.10.14 (토),김철욱,3:0,6,1/1,100.0,0/0,0,1/1,100.0,4/4,100.0,0,2,2,0,0,0,0,0,1,2,1
안양 KGC 인삼공사,서울 삼성 썬더스,2017.10.14 (토),박재한,5:39,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,1,1,0,0,1,0,0,2,0,0
서울 삼성 썬더스,안양 KGC 인삼공사,2017.10.14 (토),김동욱,27:49,11,1/2,50.0,3/6,50.0,4/8,50.0,0/0,0,1,7,8,0,2,0,1,0,1,0,1
서울 삼성 썬더스,안양 KGC 인삼공사,2017.10.14 (토),김태술,35:40,8,2/3,66.7,0/3,0.0,2/6,33.3,4/6,66.7,3,1,4,0,5,3,0,0,3,7,2
서울 삼성 썬더스,안양 KGC 인삼공사,2017.10.14 (토),문태영,27:58,15,2/6,33.3,3/7,42.9,5/13,38.5,2/2,100.0,2,2,4,0,2,2,3,0,3,2,2
서울 삼성 썬더스,안양 KGC 인삼공사,2017.10.14 (토),김명훈,0:41,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0
서울 삼성 썬더스,안양 KGC 인삼공사,2017.10.14 (토),김태형,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 삼성 썬더스,안양 KGC 인삼공사,2017.10.14 (토),이관희,20:58,13,2/3,66.7,3/6,50.0,5/9,55.6,0/0,0,0,1,1,0,0,1,0,0,2,0,2
서울 삼성 썬더스,안양 KGC 인삼공사,2017.10.14 (토),차민석,1:44,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 삼성 썬더스,안양 KGC 인삼공사,2017.10.14 (토),리카르도 라틀리프,37:25,18,7/13,53.8,0/0,0,7/13,53.8,4/6,66.7,2,10,12,0,5,4,0,0,2,6,6
서울 삼성 썬더스,안양 KGC 인삼공사,2017.10.14 (토),이동엽,21:31,8,2/3,66.7,1/2,50.0,3/5,60.0,1/1,100.0,0,2,2,0,2,2,1,2,2,1,2
서울 삼성 썬더스,안양 KGC 인삼공사,2017.10.14 (토),이호현,2:35,0,0/0,0,0/0,0,0/0,0,0/0,0,0,1,1,0,0,0,0,0,0,0,0
서울 삼성 썬더스,안양 KGC 인삼공사,2017.10.14 (토),천기범,1:45,1,0/0,0,0/0,0,0/0,0,1/2,50.0,0,0,0,0,1,0,0,0,0,1,0
서울 삼성 썬더스,안양 KGC 인삼공사,2017.10.14 (토),마키스 커밍스,21:54,8,2/8,25.0,1/1,100.0,3/9,33.3,1/2,50.0,1,3,4,0,3,3,2,0,5,4,2
고양 오리온 오리온스,창원 LG 세이커스,2017.10.14 (토),송창무,5:42,0,0/0,0,0/0,0,0/0,0,0/0,0,0,1,1,0,0,2,0,0,1,0,0
고양 오리온 오리온스,창원 LG 세이커스,2017.10.14 (토),김강선,13:37,2,0/1,0.0,0/2,0.0,0/3,0.0,2/2,100.0,0,4,4,0,1,1,0,0,4,3,0
고양 오리온 오리온스,창원 LG 세이커스,2017.10.14 (토),허일영,38:51,17,2/4,50.0,4/7,57.1,6/11,54.5,1/2,50.0,4,3,7,0,0,1,0,0,3,2,1
고양 오리온 오리온스,창원 LG 세이커스,2017.10.14 (토),문태종,14:18,9,3/5,60.0,1/3,33.3,4/8,50.0,0/3,0.0,0,3,3,0,3,0,0,1,4,2,2
고양 오리온 오리온스,창원 LG 세이커스,2017.10.14 (토),최진수,26:54,5,2/5,40.0,0/3,0.0,2/8,25.0,1/1,100.0,1,6,7,0,2,2,2,1,3,3,2
고양 오리온 오리온스,창원 LG 세이커스,2017.10.14 (토),조효현,3:39,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
고양 오리온 오리온스,창원 LG 세이커스,2017.10.14 (토),드워릭 스펜서,24:1,19,2/3,66.7,5/7,71.4,7/10,70.0,0/0,0,0,2,2,0,4,3,0,0,3,1,1
고양 오리온 오리온스,창원 LG 세이커스,2017.10.14 (토),김진유,22:44,3,0/3,0.0,1/4,25.0,1/7,14.3,0/0,0,2,0,2,0,4,0,1,1,4,1,0
고양 오리온 오리온스,창원 LG 세이커스,2017.10.14 (토),조의태,1:14,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0
고양 오리온 오리온스,창원 LG 세이커스,2017.10.14 (토),버논 맥클린,34:18,19,9/11,81.8,0/0,0,9/11,81.8,1/4,25.0,0,9,9,2,2,4,0,4,2,4,8
고양 오리온 오리온스,창원 LG 세이커스,2017.10.14 (토),김도수,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
고양 오리온 오리온스,창원 LG 세이커스,2017.10.14 (토),전정규,14:42,0,0/1,0.0,0/2,0.0,0/3,0.0,0/0,0,0,2,2,0,0,1,0,0,2,1,0
창원 LG 세이커스,고양 오리온 오리온스,2017.10.14 (토),조성민,18:27,7,0/0,0,2/7,28.6,2/7,28.6,1/1,100.0,0,4,4,0,0,1,0,0,1,1,0
창원 LG 세이커스,고양 오리온 오리온스,2017.10.14 (토),기승호,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
창원 LG 세이커스,고양 오리온 오리온스,2017.10.14 (토),양우섭,2:21,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,1,0,0,1,0,0
창원 LG 세이커스,고양 오리온 오리온스,2017.10.14 (토),정창영,16:30,2,0/3,0.0,0/1,0.0,0/4,0.0,2/2,100.0,0,2,2,0,0,0,0,1,2,1,0
창원 LG 세이커스,고양 오리온 오리온스,2017.10.14 (토),김시래,30:58,17,4/6,66.7,2/7,28.6,6/13,46.2,3/6,50.0,0,7,7,0,6,0,2,0,3,6,4
창원 LG 세이커스,고양 오리온 오리온스,2017.10.14 (토),김종규,34:24,14,5/13,38.5,0/0,0,5/13,38.5,4/9,44.4,3,6,9,1,1,1,0,0,2,6,4
창원 LG 세이커스,고양 오리온 오리온스,2017.10.14 (토),최승욱,27:41,13,4/5,80.0,1/2,50.0,5/7,71.4,2/2,100.0,1,1,2,0,1,0,1,0,4,3,3
창원 LG 세이커스,고양 오리온 오리온스,2017.10.14 (토),정성우,9:2,3,0/0,0,1/1,100.0,1/1,100.0,0/0,0,0,0,0,0,2,0,1,0,0,1,0
