Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
안양 KGC 인삼공사,전주 KCC 이지스,2021.10.09 (토),박형철,4:29,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,1,0,0,1,0,0
안양 KGC 인삼공사,전주 KCC 이지스,2021.10.09 (토),함준후,6:49,0,0/1,0.0,0/1,0.0,0/2,0.0,0/0,0,2,0,2,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,전주 KCC 이지스,2021.10.09 (토),오세근,36:26,14,7/12,58.3,0/0,0,7/12,58.3,0/0,0,5,7,12,0,2,1,2,0,2,4,3
안양 KGC 인삼공사,전주 KCC 이지스,2021.10.09 (토),문성곤,37:35,11,1/2,50.0,3/7,42.9,4/9,44.4,0/0,0,2,7,9,0,4,0,2,0,2,1,1
안양 KGC 인삼공사,전주 KCC 이지스,2021.10.09 (토),전성현,33:12,24,5/8,62.5,4/6,66.7,9/14,64.3,2/2,100.0,0,0,0,0,1,0,1,0,1,2,3
안양 KGC 인삼공사,전주 KCC 이지스,2021.10.09 (토),박재한,13:37,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,1,0,1,0,1,1,0,0,0,1,0
안양 KGC 인삼공사,전주 KCC 이지스,2021.10.09 (토),대릴 먼로,12:25,5,1/5,20.0,1/4,25.0,2/9,22.2,0/0,0,0,2,2,0,1,0,1,0,1,0,1
안양 KGC 인삼공사,전주 KCC 이지스,2021.10.09 (토),우동현,7:24,2,1/2,50.0,0/1,0.0,1/3,33.3,0/0,0,1,0,1,0,0,0,0,0,2,0,1
안양 KGC 인삼공사,전주 KCC 이지스,2021.10.09 (토),변준형,19:14,6,1/3,33.3,1/3,33.3,2/6,33.3,1/2,50.0,1,1,2,0,2,2,0,0,4,2,1
안양 KGC 인삼공사,전주 KCC 이지스,2021.10.09 (토),한승희,1:14,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,전주 KCC 이지스,2021.10.09 (토),양승면,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
