Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
고양 오리온 오리온스,전주 KCC 이지스,2016.10.22 (토),김동욱,24:15,5,1/4,25.0,1/1,100.0,2/5,40.0,0/0,0,0,0,0,0,6,4,0,0,2,0,0
고양 오리온 오리온스,전주 KCC 이지스,2016.10.22 (토),정재홍,13:40,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,3,3,0,1,0,1,0,2,0,0
고양 오리온 오리온스,전주 KCC 이지스,2016.10.22 (토),애런 헤인즈,31:58,30,13/25,52.0,0/2,0.0,13/27,48.1,4/6,66.7,2,9,11,1,2,0,0,0,1,0,8
고양 오리온 오리온스,전주 KCC 이지스,2016.10.22 (토),김강선,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
고양 오리온 오리온스,전주 KCC 이지스,2016.10.22 (토),허일영,24:33,6,0/0,0,2/4,50.0,2/4,50.0,0/0,0,1,6,7,0,1,0,1,0,1,0,0
고양 오리온 오리온스,전주 KCC 이지스,2016.10.22 (토),문태종,3:14,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
고양 오리온 오리온스,전주 KCC 이지스,2016.10.22 (토),최진수,13:37,0,0/1,0.0,0/2,0.0,0/3,0.0,0/0,0,0,1,1,0,0,0,1,0,2,0,0
고양 오리온 오리온스,전주 KCC 이지스,2016.10.22 (토),장재석,10:50,9,3/6,50.0,1/1,100.0,4/7,57.1,0/0,0,1,0,1,0,0,2,0,1,3,0,3
고양 오리온 오리온스,전주 KCC 이지스,2016.10.22 (토),이승현,35:48,11,2/5,40.0,2/5,40.0,4/10,40.0,1/2,50.0,3,4,7,0,4,0,1,0,2,0,2
고양 오리온 오리온스,전주 KCC 이지스,2016.10.22 (토),오데리언 바셋,26:20,18,6/9,66.7,2/6,33.3,8/15,53.3,0/0,0,0,4,4,0,7,2,2,0,2,0,6
