Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
원주 동부 프로미,창원 LG 세이커스,2011.03.25 (금),김진호,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 동부 프로미,창원 LG 세이커스,2011.03.25 (금),김주성,39:33,6,3/10,30.0,0/0,0,3/10,30.0,0/0,0,0,6,6,0,3,5,1,5,3,0,3
원주 동부 프로미,창원 LG 세이커스,2011.03.25 (금),진경석,5:16,0,0/0,0,0/0,0,0/0,0,0/0,0,0,1,1,0,0,0,0,0,1,0,0
원주 동부 프로미,창원 LG 세이커스,2011.03.25 (금),김성현,3:15,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 동부 프로미,창원 LG 세이커스,2011.03.25 (금),박지현,31:8,15,3/4,75.0,2/3,66.7,5/7,71.4,3/5,60.0,1,3,4,0,2,4,2,0,3,0,3
원주 동부 프로미,창원 LG 세이커스,2011.03.25 (금),황진원,34:29,19,8/12,66.7,1/3,33.3,9/15,60.0,0/1,0.0,1,2,3,0,2,2,0,0,3,0,7
원주 동부 프로미,창원 LG 세이커스,2011.03.25 (금),빅터 토마스,6:4,3,1/2,50.0,0/0,0,1/2,50.0,1/4,25.0,3,0,3,0,0,1,0,2,0,0,1
원주 동부 프로미,창원 LG 세이커스,2011.03.25 (금),김봉수,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 동부 프로미,창원 LG 세이커스,2011.03.25 (금),류광식,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 동부 프로미,창원 LG 세이커스,2011.03.25 (금),윤호영,37:27,9,3/5,60.0,0/0,0,3/5,60.0,3/5,60.0,0,4,4,0,3,2,1,4,4,0,3
원주 동부 프로미,창원 LG 세이커스,2011.03.25 (금),로드 벤슨,33:56,13,6/8,75.0,0/0,0,6/8,75.0,1/2,50.0,0,11,11,3,2,3,1,1,3,0,6
원주 동부 프로미,창원 LG 세이커스,2011.03.25 (금),안재욱,8:52,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,0,0,0,4,0,0,0,1,0,0
창원 LG 세이커스,원주 동부 프로미,2011.03.25 (금),전형수,8:25,0,0/1,0.0,0/1,0.0,0/2,0.0,0/0,0,0,0,0,0,1,0,0,0,0,0,0
창원 LG 세이커스,원주 동부 프로미,2011.03.25 (금),김현중,9:37,2,0/0,0,0/0,0,0/0,0,2/2,100.0,0,1,1,0,0,0,1,0,1,0,0
창원 LG 세이커스,원주 동부 프로미,2011.03.25 (금),이창수,2:27,0,0/0,0,0/0,0,0/0,0,0/0,0,1,0,1,0,0,0,0,0,0,0,0
창원 LG 세이커스,원주 동부 프로미,2011.03.25 (금),한정원,26:40,5,2/3,66.7,0/2,0.0,2/5,40.0,1/2,50.0,2,2,4,0,0,1,2,0,3,0,1
창원 LG 세이커스,원주 동부 프로미,2011.03.25 (금),강대협,3:35,0,0/1,0.0,0/1,0.0,0/2,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
창원 LG 세이커스,원주 동부 프로미,2011.03.25 (금),이현준,17:49,4,1/2,50.0,0/2,0.0,1/4,25.0,2/3,66.7,0,0,0,0,1,0,0,0,5,0,1
창원 LG 세이커스,원주 동부 프로미,2011.03.25 (금),기승호,8:55,0,0/3,0.0,0/1,0.0,0/4,0.0,0/0,0,0,0,0,0,0,0,2,0,1,0,0
창원 LG 세이커스,원주 동부 프로미,2011.03.25 (금),문태영,35:42,13,4/14,28.6,1/2,50.0,5/16,31.3,2/2,100.0,1,6,7,0,4,2,1,0,5,0,4
창원 LG 세이커스,원주 동부 프로미,2011.03.25 (금),변현수,16:56,2,1/2,50.0,0/1,0.0,1/3,33.3,0/0,0,0,1,1,0,1,1,0,0,3,0,0
창원 LG 세이커스,원주 동부 프로미,2011.03.25 (금),크리스 알렉산더,28:59,12,5/6,83.3,0/0,0,5/6,83.3,2/2,100.0,5,6,11,0,1,3,1,2,3,0,5
창원 LG 세이커스,원주 동부 프로미,2011.03.25 (금),박형철,29:54,6,0/3,0.0,2/7,28.6,2/10,20.0,0/2,0.0,0,1,1,0,1,2,2,0,1,0,0
창원 LG 세이커스,원주 동부 프로미,2011.03.25 (금),자이 루이스,11:1,11,5/13,38.5,0/0,0,5/13,38.5,1/1,100.0,6,1,7,0,0,2,0,0,3,0,5
전주 KCC 이지스,서울 삼성 썬더스,2011.03.26 (토),이동준,5:12,3,0/0,0,1/1,100.0,1/1,100.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,서울 삼성 썬더스,2011.03.26 (토),추승균,23:45,15,5/8,62.5,1/1,100.0,6/9,66.7,2/2,100.0,0,2,2,0,4,1,0,0,3,0,2
전주 KCC 이지스,서울 삼성 썬더스,2011.03.26 (토),강은식,12:17,4,0/0,0,1/1,100.0,1/1,100.0,1/2,50.0,0,1,1,0,0,0,0,0,2,0,0
전주 KCC 이지스,서울 삼성 썬더스,2011.03.26 (토),정선규,1:15,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0
전주 KCC 이지스,서울 삼성 썬더스,2011.03.26 (토),임재현,22:6,11,1/1,100.0,3/4,75.0,4/5,80.0,0/0,0,0,0,0,0,2,0,2,0,3,0,0
전주 KCC 이지스,서울 삼성 썬더스,2011.03.26 (토),유병재,13:9,3,0/2,0.0,1/2,50.0,1/4,25.0,0/0,0,1,0,1,0,1,0,0,0,5,0,0
전주 KCC 이지스,서울 삼성 썬더스,2011.03.26 (토),크리스 다니엘스,25:51,24,7/10,70.0,0/0,0,7/10,70.0,10/10,100.0,3,4,7,2,1,4,1,2,1,0,4
전주 KCC 이지스,서울 삼성 썬더스,2011.03.26 (토),강병현,32:0,23,7/11,63.6,3/5,60.0,10/16,62.5,0/0,0,0,4,4,0,4,2,3,0,3,0,6
