Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
울산 모비스 피버스,안양 한국인삼공사,2010.10.15 (금),하상윤,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 모비스 피버스,안양 한국인삼공사,2010.10.15 (금),양동근,33:45,24,8/10,80.0,1/3,33.3,9/13,69.2,5/6,83.3,0,4,4,0,7,4,4,0,3,0,8
울산 모비스 피버스,안양 한국인삼공사,2010.10.15 (금),이승현,17:5,2,0/3,0.0,0/0,0,0/3,0.0,2/2,100.0,1,3,4,0,1,0,1,0,3,0,0
울산 모비스 피버스,안양 한국인삼공사,2010.10.15 (금),노경석,25:10,7,2/2,100.0,1/1,100.0,3/3,100.0,0/0,0,0,1,1,0,6,1,0,0,3,0,2
울산 모비스 피버스,안양 한국인삼공사,2010.10.15 (금),박종천,37:14,14,3/6,50.0,2/4,50.0,5/10,50.0,2/2,100.0,0,0,0,0,4,0,0,0,2,0,3
울산 모비스 피버스,안양 한국인삼공사,2010.10.15 (금),마이카 브랜드,17:17,14,7/12,58.3,0/0,0,7/12,58.3,0/1,0.0,0,4,4,0,1,2,0,1,3,0,6
울산 모비스 피버스,안양 한국인삼공사,2010.10.15 (금),김종근,6:15,2,1/2,50.0,0/0,0,1/2,50.0,0/0,0,0,1,1,0,1,0,0,0,0,0,1
울산 모비스 피버스,안양 한국인삼공사,2010.10.15 (금),최윤호,2:12,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 모비스 피버스,안양 한국인삼공사,2010.10.15 (금),송창용,15:24,8,2/4,50.0,1/1,100.0,3/5,60.0,1/2,50.0,0,0,0,0,1,1,0,0,4,0,2
울산 모비스 피버스,안양 한국인삼공사,2010.10.15 (금),홍수화,22:55,10,2/2,100.0,2/4,50.0,4/6,66.7,0/0,0,1,1,2,0,1,1,1,0,4,0,2
울산 모비스 피버스,안양 한국인삼공사,2010.10.15 (금),류종현,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 모비스 피버스,안양 한국인삼공사,2010.10.15 (금),로렌스 엑페리건,22:43,18,7/12,58.3,0/0,0,7/12,58.3,4/10,40.0,2,6,8,2,0,1,0,0,3,0,7
안양 한국인삼공사,울산 모비스 피버스,2010.10.15 (금),김성철,32:9,13,2/6,33.3,1/2,50.0,3/8,37.5,6/6,100.0,0,2,2,0,3,5,0,2,2,0,1
안양 한국인삼공사,울산 모비스 피버스,2010.10.15 (금),은희석,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 한국인삼공사,울산 모비스 피버스,2010.10.15 (금),김광원,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 한국인삼공사,울산 모비스 피버스,2010.10.15 (금),김종학,2:55,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 한국인삼공사,울산 모비스 피버스,2010.10.15 (금),김보현,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 한국인삼공사,울산 모비스 피버스,2010.10.15 (금),박성훈,11:11,1,0/0,0,0/0,0,0/0,0,1/2,50.0,1,0,1,0,0,0,1,0,0,0,0
안양 한국인삼공사,울산 모비스 피버스,2010.10.15 (금),김명훈,37:5,5,1/4,25.0,0/0,0,1/4,25.0,3/4,75.0,0,5,5,0,0,2,0,0,1,0,1
안양 한국인삼공사,울산 모비스 피버스,2010.10.15 (금),박찬희,26:51,10,2/4,50.0,0/0,0,2/4,50.0,6/6,100.0,0,4,4,0,7,2,0,0,4,0,2
안양 한국인삼공사,울산 모비스 피버스,2010.10.15 (금),이정현,36:40,19,5/7,71.4,2/5,40.0,7/12,58.3,3/4,75.0,1,3,4,0,5,2,1,1,2,0,3
안양 한국인삼공사,울산 모비스 피버스,2010.10.15 (금),데이비드 사이먼,26:51,25,10/15,66.7,0/0,0,10/15,66.7,5/6,83.3,0,8,8,3,0,1,1,0,5,0,9
