Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
부산 KTF 매직윙스,서울 삼성 썬더스,2005.03.18 (금),김기만,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
부산 KTF 매직윙스,서울 삼성 썬더스,2005.03.18 (금),최민규,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
부산 KTF 매직윙스,서울 삼성 썬더스,2005.03.18 (금),진경석,2:48,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
부산 KTF 매직윙스,서울 삼성 썬더스,2005.03.18 (금),애런 맥기,38:1,20,4/14,28.6,4/7,57.1,8/21,38.1,0/0,0,3,8,11,0,0,1,0,4,1,0,0
부산 KTF 매직윙스,서울 삼성 썬더스,2005.03.18 (금),크니엘 딕킨스,41:59,22,4/10,40.0,4/9,44.4,8/19,42.1,2/2,100.0,1,8,9,0,2,2,3,1,2,0,0
부산 KTF 매직윙스,서울 삼성 썬더스,2005.03.18 (금),조동현,38:47,10,5/6,83.3,0/2,0.0,5/8,62.5,0/1,0.0,0,2,2,0,0,1,2,0,5,0,0
부산 KTF 매직윙스,서울 삼성 썬더스,2005.03.18 (금),정락영,30:23,0,0/2,0.0,0/0,0,0/2,0.0,0/2,0.0,0,2,2,0,5,2,2,0,4,0,0
부산 KTF 매직윙스,서울 삼성 썬더스,2005.03.18 (금),남진우,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
부산 KTF 매직윙스,서울 삼성 썬더스,2005.03.18 (금),석명준,4:30,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,2,0,2,0,0,0,1,0,3,0,0
부산 KTF 매직윙스,서울 삼성 썬더스,2005.03.18 (금),이홍수,14:21,0,0/0,0,0/0,0,0/0,0,0/0,0,0,2,2,0,3,0,1,0,3,0,0
부산 KTF 매직윙스,서울 삼성 썬더스,2005.03.18 (금),손규완,9:57,6,0/0,0,2/3,66.7,2/3,66.7,0/0,0,1,0,1,0,1,0,0,0,0,0,0
부산 KTF 매직윙스,서울 삼성 썬더스,2005.03.18 (금),현주엽,44:14,24,7/21,33.3,3/6,50.0,10/27,37.0,1/1,100.0,3,7,10,0,5,6,1,1,3,0,0
서울 삼성 썬더스,부산 KTF 매직윙스,2005.03.18 (금),주희정,45:0,15,4/4,100.0,1/4,25.0,5/8,62.5,4/6,66.7,4,6,10,0,8,1,3,0,3,0,0
서울 삼성 썬더스,부산 KTF 매직윙스,2005.03.18 (금),박성배,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 삼성 썬더스,부산 KTF 매직윙스,2005.03.18 (금),김택훈,0:46,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,1,0,0,0,0,0
서울 삼성 썬더스,부산 KTF 매직윙스,2005.03.18 (금),강혁,23:55,11,4/6,66.7,1/4,25.0,5/10,50.0,0/0,0,0,0,0,0,1,2,1,0,1,0,0
서울 삼성 썬더스,부산 KTF 매직윙스,2005.03.18 (금),이규섭,37:37,12,3/6,50.0,2/6,33.3,5/12,41.7,0/2,0.0,4,3,7,0,3,1,2,2,4,0,0
서울 삼성 썬더스,부산 KTF 매직윙스,2005.03.18 (금),박영민,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 삼성 썬더스,부산 KTF 매직윙스,2005.03.18 (금),박종천,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 삼성 썬더스,부산 KTF 매직윙스,2005.03.18 (금),이병윤,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 삼성 썬더스,부산 KTF 매직윙스,2005.03.18 (금),알렉스 스케일,37:42,18,8/13,61.5,0/7,0.0,8/20,40.0,2/4,50.0,4,7,11,2,2,3,0,1,2,0,0
서울 삼성 썬더스,부산 KTF 매직윙스,2005.03.18 (금),자말 모슬리,35:46,14,3/8,37.5,1/4,25.0,4/12,33.3,5/5,100.0,5,6,11,1,2,2,2,1,2,0,0
서울 삼성 썬더스,부산 KTF 매직윙스,2005.03.18 (금),서장훈,44:14,18,7/16,43.8,0/2,0.0,7/18,38.9,4/5,80.0,3,14,17,0,1,0,2,1,4,0,0
서울 삼성 썬더스,부산 KTF 매직윙스,2005.03.18 (금),박성훈,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 SBS 스타즈,대구 오리온스,2005.03.19 (토),김희선,2:21,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,1,0,0,0,0,0,0
안양 SBS 스타즈,대구 오리온스,2005.03.19 (토),윤영필,16:1,3,1/3,33.3,0/0,0,1/3,33.3,1/2,50.0,1,4,5,0,0,0,0,0,2,0,0
안양 SBS 스타즈,대구 오리온스,2005.03.19 (토),김성철,38:49,23,7/10,70.0,3/9,33.3,10/19,52.6,0/0,0,3,4,7,1,5,1,3,0,3,0,0
안양 SBS 스타즈,대구 오리온스,2005.03.19 (토),은희석,21:44,6,0/1,0.0,2/3,66.7,2/4,50.0,0/0,0,0,2,2,0,1,1,1,0,4,0,0
안양 SBS 스타즈,대구 오리온스,2005.03.19 (토),신동한,0:57,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 SBS 스타즈,대구 오리온스,2005.03.19 (토),박성운,1:11,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0
안양 SBS 스타즈,대구 오리온스,2005.03.19 (토),전병석,0:46,2,1/1,100.0,0/0,0,1/1,100.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 SBS 스타즈,대구 오리온스,2005.03.19 (토),이정석,18:16,7,2/3,66.7,1/1,100.0,3/4,75.0,0/0,0,1,2,3,0,1,3,0,0,5,0,0
안양 SBS 스타즈,대구 오리온스,2005.03.19 (토),주니어 버로,32:56,25,8/15,53.3,0/1,0.0,8/16,50.0,9/9,100.0,2,9,11,0,6,3,0,0,3,0,0
안양 SBS 스타즈,대구 오리온스,2005.03.19 (토),단테 존스,33:2,14,4/7,57.1,0/6,0.0,4/13,30.8,6/9,66.7,3,10,13,0,5,1,2,3,1,0,0
안양 SBS 스타즈,대구 오리온스,2005.03.19 (토),송태영,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 SBS 스타즈,대구 오리온스,2005.03.19 (토),양희승,33:57,12,2/4,50.0,2/6,33.3,4/10,40.0,2/2,100.0,1,1,2,0,1,4,2,0,3,0,0
대구 오리온스,안양 SBS 스타즈,2005.03.19 (토),이정래,9:25,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,1,1,0,3,0,1,0,0,0,0
대구 오리온스,안양 SBS 스타즈,2005.03.19 (토),이은호,9:21,3,0/0,0,1/1,100.0,1/1,100.0,0/0,0,0,1,1,0,0,1,0,0,5,0,0
대구 오리온스,안양 SBS 스타즈,2005.03.19 (토),김병철,34:17,8,2/3,66.7,1/9,11.1,3/12,25.0,1/2,50.0,1,3,4,0,2,1,2,0,1,0,0
대구 오리온스,안양 SBS 스타즈,2005.03.19 (토),박재일,34:39,4,2/3,66.7,0/5,0.0,2/8,25.0,0/0,0,0,5,5,0,0,1,3,0,2,0,0
대구 오리온스,안양 SBS 스타즈,2005.03.19 (토),김승현,37:50,21,2/3,66.7,4/11,36.4,6/14,42.9,5/6,83.3,2,3,5,0,7,4,0,0,1,0,0
대구 오리온스,안양 SBS 스타즈,2005.03.19 (토),문혁주,3:12,3,0/1,0.0,1/1,100.0,1/2,50.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대구 오리온스,안양 SBS 스타즈,2005.03.19 (토),박성욱,2:10,2,0/0,0,0/0,0,0/0,0,2/2,100.0,0,0,0,0,0,0,0,0,0,0,0
대구 오리온스,안양 SBS 스타즈,2005.03.19 (토),이우정,2:10,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,2,0,0,0,1,0,0
대구 오리온스,안양 SBS 스타즈,2005.03.19 (토),네이트 존슨,32:7,25,10/15,66.7,1/6,16.7,11/21,52.4,2/3,66.7,1,9,10,3,0,4,1,2,3,0,0
