Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
울산 현대모비스 피버스,안양 KGC 인삼공사,2018.03.17 (토),양동근,30:53,6,0/3,0.0,2/8,25.0,2/11,18.2,0/0,0,1,0,1,0,1,0,2,0,3,2,0
울산 현대모비스 피버스,안양 KGC 인삼공사,2018.03.17 (토),함지훈,33:55,14,4/7,57.1,0/2,0.0,4/9,44.4,6/6,100.0,3,2,5,0,0,0,0,1,2,4,3
울산 현대모비스 피버스,안양 KGC 인삼공사,2018.03.17 (토),박구영,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,안양 KGC 인삼공사,2018.03.17 (토),박형철,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,안양 KGC 인삼공사,2018.03.17 (토),김동량,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,안양 KGC 인삼공사,2018.03.17 (토),박경상,19:9,7,1/1,100.0,1/4,25.0,2/5,40.0,2/2,100.0,1,2,3,0,3,0,1,0,3,2,1
울산 현대모비스 피버스,안양 KGC 인삼공사,2018.03.17 (토),정성호,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,안양 KGC 인삼공사,2018.03.17 (토),전준범,27:22,3,0/0,0,0/5,0.0,0/5,0.0,3/3,100.0,1,1,2,0,3,1,0,0,3,2,0
울산 현대모비스 피버스,안양 KGC 인삼공사,2018.03.17 (토),이대성,32:36,15,6/11,54.5,0/4,0.0,6/15,40.0,3/5,60.0,3,2,5,0,2,3,0,0,2,4,5
울산 현대모비스 피버스,안양 KGC 인삼공사,2018.03.17 (토),배수용,10:0,1,0/1,0.0,0/1,0.0,0/2,0.0,1/2,50.0,0,1,1,0,0,0,0,0,0,1,0
울산 현대모비스 피버스,안양 KGC 인삼공사,2018.03.17 (토),마커스 블레이클리,15:12,6,2/9,22.2,0/0,0,2/9,22.2,2/2,100.0,4,6,10,0,1,1,0,2,4,3,2
울산 현대모비스 피버스,안양 KGC 인삼공사,2018.03.17 (토),레이션 테리,30:53,21,6/12,50.0,2/5,40.0,8/17,47.1,3/3,100.0,6,4,10,0,3,3,3,0,4,5,6
안양 KGC 인삼공사,울산 현대모비스 피버스,2018.03.17 (토),오용준,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,울산 현대모비스 피버스,2018.03.17 (토),양희종,26:22,6,0/2,0.0,2/4,50.0,2/6,33.3,0/0,0,1,2,3,0,0,2,1,0,4,0,0
안양 KGC 인삼공사,울산 현대모비스 피버스,2018.03.17 (토),강병현,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,울산 현대모비스 피버스,2018.03.17 (토),데이비드 사이먼,38:33,27,8/14,57.1,1/2,50.0,9/16,56.3,8/9,88.9,4,7,11,1,2,5,1,2,2,7,5
안양 KGC 인삼공사,울산 현대모비스 피버스,2018.03.17 (토),오세근,32:26,4,2/6,33.3,0/0,0,2/6,33.3,0/0,0,1,8,9,0,6,0,1,4,4,4,1
안양 KGC 인삼공사,울산 현대모비스 피버스,2018.03.17 (토),김승원,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,울산 현대모비스 피버스,2018.03.17 (토),최현민,6:13,3,1/2,50.0,0/0,0,1/2,50.0,1/1,100.0,1,2,3,0,0,1,0,0,4,1,1
안양 KGC 인삼공사,울산 현대모비스 피버스,2018.03.17 (토),한희원,16:35,0,0/1,0.0,0/1,0.0,0/2,0.0,0/0,0,1,0,1,0,1,0,2,0,3,0,0
안양 KGC 인삼공사,울산 현대모비스 피버스,2018.03.17 (토),전성현,36:12,19,2/4,50.0,5/10,50.0,7/14,50.0,0/0,0,2,1,3,0,0,1,0,0,1,0,1
안양 KGC 인삼공사,울산 현대모비스 피버스,2018.03.17 (토),이재도,22:43,7,2/3,66.7,0/1,0.0,2/4,50.0,3/6,50.0,0,2,2,0,5,1,1,1,4,5,2
안양 KGC 인삼공사,울산 현대모비스 피버스,2018.03.17 (토),박재한,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KGC 인삼공사,울산 현대모비스 피버스,2018.03.17 (토),큐제이 피터슨,20:56,18,5/8,62.5,2/3,66.7,7/11,63.6,2/2,100.0,1,3,4,0,3,4,0,0,1,4,4
전주 KCC 이지스,인천 전자랜드 엘리펀츠,2018.03.18 (일),이현민,18:13,5,1/2,50.0,1/1,100.0,2/3,66.7,0/0,0,0,1,1,0,5,2,0,0,3,1,1
전주 KCC 이지스,인천 전자랜드 엘리펀츠,2018.03.18 (일),신명호,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,인천 전자랜드 엘리펀츠,2018.03.18 (일),하승진,28:18,16,5/8,62.5,0/0,0,5/8,62.5,6/10,60.0,8,5,13,0,2,0,0,3,2,10,5
