Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
울산 현대모비스 피버스,고양 오리온 오리온스,2022.04.09 (토),이현민,13:39,5,1/1,100.0,1/2,50.0,2/3,66.7,0/0,0,0,1,1,0,1,2,2,0,1,3,1
울산 현대모비스 피버스,고양 오리온 오리온스,2022.04.09 (토),함지훈,30:20,20,7/8,87.5,1/1,100.0,8/9,88.9,3/3,100.0,4,7,11,0,8,3,1,1,1,2,5
울산 현대모비스 피버스,고양 오리온 오리온스,2022.04.09 (토),최진수,2:23,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,고양 오리온 오리온스,2022.04.09 (토),박지훈,18:16,3,1/2,50.0,0/1,0.0,1/3,33.3,1/2,50.0,0,1,1,0,0,0,0,0,3,1,0
울산 현대모비스 피버스,고양 오리온 오리온스,2022.04.09 (토),장재석,9:25,2,1/2,50.0,0/0,0,1/2,50.0,0/0,0,0,2,2,0,1,0,0,0,2,0,1
울산 현대모비스 피버스,고양 오리온 오리온스,2022.04.09 (토),김영현,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,고양 오리온 오리온스,2022.04.09 (토),김국찬,32:21,16,2/4,50.0,4/10,40.0,6/14,42.9,0/0,0,0,4,4,0,3,1,1,1,2,4,2
울산 현대모비스 피버스,고양 오리온 오리온스,2022.04.09 (토),서명진,19:37,1,0/0,0,0/4,0.0,0/4,0.0,1/2,50.0,1,1,2,0,3,3,0,0,3,1,0
울산 현대모비스 피버스,고양 오리온 오리온스,2022.04.09 (토),이우석,33:44,11,3/8,37.5,1/3,33.3,4/11,36.4,2/2,100.0,4,1,5,0,2,5,1,0,3,2,1
울산 현대모비스 피버스,고양 오리온 오리온스,2022.04.09 (토),신민석,0:15,3,0/0,0,1/1,100.0,1/1,100.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,고양 오리온 오리온스,2022.04.09 (토),김동준,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,고양 오리온 오리온스,2022.04.09 (토),에릭 버크너,40:0,22,11/13,84.6,0/0,0,11/13,84.6,0/0,0,3,6,9,3,2,3,1,1,4,4,10
고양 오리온 오리온스,울산 현대모비스 피버스,2022.04.09 (토),오용준,7:4,2,1/2,50.0,0/0,0,1/2,50.0,0/0,0,0,0,0,0,0,0,0,0,2,0,1
고양 오리온 오리온스,울산 현대모비스 피버스,2022.04.09 (토),김강선,13:34,5,0/1,0.0,1/2,50.0,1/3,33.3,2/2,100.0,1,1,2,0,3,2,0,0,0,3,0
고양 오리온 오리온스,울산 현대모비스 피버스,2022.04.09 (토),최현민,20:16,7,0/0,0,2/4,50.0,2/4,50.0,1/2,50.0,0,0,0,0,0,0,1,0,3,2,0
고양 오리온 오리온스,울산 현대모비스 피버스,2022.04.09 (토),이대성,34:13,9,2/7,28.6,1/6,16.7,3/13,23.1,2/3,66.7,1,1,2,0,4,3,2,1,4,6,2
고양 오리온 오리온스,울산 현대모비스 피버스,2022.04.09 (토),한호빈,22:24,14,0/0,0,4/6,66.7,4/6,66.7,2/2,100.0,1,0,1,0,3,1,1,0,1,1,0
고양 오리온 오리온스,울산 현대모비스 피버스,2022.04.09 (토),이정제,7:30,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,2,0,2,0,0,1,0,0,1,0,0
고양 오리온 오리온스,울산 현대모비스 피버스,2022.04.09 (토),이승현,32:30,6,2/9,22.2,0/2,0.0,2/11,18.2,2/2,100.0,3,3,6,0,2,1,0,0,2,3,1
고양 오리온 오리온스,울산 현대모비스 피버스,2022.04.09 (토),김진유,3:55,0,0/0,0,0/0,0,0/0,0,0/0,0,0,1,1,0,1,0,1,0,1,0,0
고양 오리온 오리온스,울산 현대모비스 피버스,2022.04.09 (토),제임스 메이스,5:47,2,1/1,100.0,0/0,0,1/1,100.0,0/0,0,0,0,0,0,1,0,0,0,0,0,1
고양 오리온 오리온스,울산 현대모비스 피버스,2022.04.09 (토),머피 할로웨이,34:13,27,13/22,59.1,0/0,0,13/22,59.1,1/3,33.3,6,7,13,4,3,0,1,2,2,3,13
고양 오리온 오리온스,울산 현대모비스 피버스,2022.04.09 (토),조한진,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
고양 오리온 오리온스,울산 현대모비스 피버스,2022.04.09 (토),이정현,18:34,15,1/2,50.0,4/7,57.1,5/9,55.6,1/2,50.0,1,0,1,0,2,0,3,0,1,1,1
안양 KGC 인삼공사,대구 한국가스공사 페가수스,2022.04.10 (일),양희종,20:45,15,5/7,71.4,0/4,0.0,5/11,45.5,5/7,71.4,1,2,3,0,2,1,2,1,2,5,5
안양 KGC 인삼공사,대구 한국가스공사 페가수스,2022.04.10 (일),함준후,3:58,2,1/1,100.0,0/0,0,1/1,100.0,0/0,0,0,0,0,0,0,0,0,0,0,1,1
