Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
안양 SBS 스타즈,인천 신세기 빅스,2001.03.10 (토),김성환,8:20,2,1/1,100.0,0/0,0,1/1,100.0,0/0,0,2,0,2,0,0,1,0,0,1,0,0
안양 SBS 스타즈,인천 신세기 빅스,2001.03.10 (토),김도명,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 SBS 스타즈,인천 신세기 빅스,2001.03.10 (토),조신영,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 SBS 스타즈,인천 신세기 빅스,2001.03.10 (토),위성우,8:20,2,1/1,100.0,0/2,0.0,1/3,33.3,0/0,0,0,2,2,0,0,1,0,0,1,0,0
안양 SBS 스타즈,인천 신세기 빅스,2001.03.10 (토),김성철,31:40,11,2/4,50.0,2/4,50.0,4/8,50.0,1/1,100.0,0,1,1,0,3,1,2,0,4,0,0
안양 SBS 스타즈,인천 신세기 빅스,2001.03.10 (토),은희석,30:0,6,3/3,100.0,0/2,0.0,3/5,60.0,0/0,0,1,2,3,0,5,1,1,0,4,0,0
안양 SBS 스타즈,인천 신세기 빅스,2001.03.10 (토),오광택,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 SBS 스타즈,인천 신세기 빅스,2001.03.10 (토),리온 데릭스,40:0,26,11/17,64.7,0/0,0,11/17,64.7,4/6,66.7,6,9,15,1,4,2,2,5,2,0,0
안양 SBS 스타즈,인천 신세기 빅스,2001.03.10 (토),데니스 에드워즈,40:0,26,11/21,52.4,0/0,0,11/21,52.4,4/9,44.4,2,13,15,0,4,6,2,0,3,0,0
안양 SBS 스타즈,인천 신세기 빅스,2001.03.10 (토),손창환,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 SBS 스타즈,인천 신세기 빅스,2001.03.10 (토),김재훈,30:44,2,1/4,25.0,0/1,0.0,1/5,20.0,0/0,0,0,1,1,0,0,1,2,0,4,0,0
안양 SBS 스타즈,인천 신세기 빅스,2001.03.10 (토),김상식,10:56,6,0/2,0.0,2/3,66.7,2/5,40.0,0/0,0,2,0,2,0,1,1,1,0,1,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.10 (토),전수훈,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.10 (토),박규훈,15:56,9,0/0,0,3/4,75.0,3/4,75.0,0/0,0,0,1,1,0,2,1,0,0,1,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.10 (토),최호,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.10 (토),조성훈,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.10 (토),우지원,40:0,20,5/9,55.6,2/9,22.2,7/18,38.9,4/5,80.0,3,1,4,0,5,4,3,0,4,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.10 (토),정재헌,24:4,2,1/1,100.0,0/1,0.0,1/2,50.0,0/0,0,0,6,6,0,0,0,1,0,4,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.10 (토),이은호,15:56,4,2/6,33.3,0/0,0,2/6,33.3,0/1,0.0,1,1,2,0,0,0,1,1,4,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.10 (토),조동현,17:58,2,1/2,50.0,0/1,0.0,1/3,33.3,0/0,0,0,2,2,0,1,1,0,0,1,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.10 (토),요나 에노사,39:4,14,6/12,50.0,0/0,0,6/12,50.0,2/2,100.0,1,8,9,1,2,3,2,0,2,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.10 (토),최병훈,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.10 (토),숀 더든,25:0,5,2/4,50.0,0/4,0.0,2/8,25.0,1/4,25.0,2,3,5,0,3,3,2,0,0,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.10 (토),홍사붕,22:2,14,5/5,100.0,1/4,25.0,6/9,66.7,1/1,100.0,1,0,1,0,2,2,1,0,4,0,0
청주 SK 나이츠,대전 현대 걸리버스,2001.03.11 (일),조상현,40:0,18,6/6,100.0,2/7,28.6,8/13,61.5,0/0,0,1,2,3,0,3,1,2,0,2,0,0
청주 SK 나이츠,대전 현대 걸리버스,2001.03.11 (일),석주일,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
청주 SK 나이츠,대전 현대 걸리버스,2001.03.11 (일),허남영,7:6,2,1/2,50.0,0/0,0,1/2,50.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
청주 SK 나이츠,대전 현대 걸리버스,2001.03.11 (일),허영,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
청주 SK 나이츠,대전 현대 걸리버스,2001.03.11 (일),재키 존스,40:0,2,1/5,20.0,0/2,0.0,1/7,14.3,0/2,0.0,4,8,12,0,6,3,3,4,2,0,0
청주 SK 나이츠,대전 현대 걸리버스,2001.03.11 (일),신석,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
청주 SK 나이츠,대전 현대 걸리버스,2001.03.11 (일),서장훈,32:54,19,9/18,50.0,0/1,0.0,9/19,47.4,1/1,100.0,0,7,7,0,1,0,0,3,4,0,0
청주 SK 나이츠,대전 현대 걸리버스,2001.03.11 (일),송태균,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
청주 SK 나이츠,대전 현대 걸리버스,2001.03.11 (일),로데릭 하니발,40:0,31,9/20,45.0,3/4,75.0,12/24,50.0,4/5,80.0,5,5,10,1,3,5,3,1,3,0,0
청주 SK 나이츠,대전 현대 걸리버스,2001.03.11 (일),김성모,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
청주 SK 나이츠,대전 현대 걸리버스,2001.03.11 (일),박준용,3:17,0,0/0,0,0/0,0,0/0,0,0/0,0,1,0,1,0,0,0,0,0,1,0,0
청주 SK 나이츠,대전 현대 걸리버스,2001.03.11 (일),임재현,36:43,8,1/2,50.0,2/8,25.0,3/10,30.0,0/0,0,1,3,4,0,1,0,0,0,3,0,0
대전 현대 걸리버스,청주 SK 나이츠,2001.03.11 (일),구본근,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대전 현대 걸리버스,청주 SK 나이츠,2001.03.11 (일),최명도,2:1,3,0/0,0,1/1,100.0,1/1,100.0,0/0,0,0,0,0,0,1,0,0,0,0,0,0
대전 현대 걸리버스,청주 SK 나이츠,2001.03.11 (일),이세범,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대전 현대 걸리버스,청주 SK 나이츠,2001.03.11 (일),이상민,34:59,20,5/11,45.5,2/2,100.0,7/13,53.8,4/5,80.0,2,8,10,0,3,4,1,0,5,0,0
대전 현대 걸리버스,청주 SK 나이츠,2001.03.11 (일),추승균,40:0,8,4/8,50.0,0/2,0.0,4/10,40.0,0/0,0,1,0,1,0,1,1,3,1,2,0,0
대전 현대 걸리버스,청주 SK 나이츠,2001.03.11 (일),조니 맥도웰,40:0,12,6/16,37.5,0/2,0.0,6/18,33.3,0/0,0,3,9,12,0,9,3,0,1,4,0,0
대전 현대 걸리버스,청주 SK 나이츠,2001.03.11 (일),정종선,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대전 현대 걸리버스,청주 SK 나이츠,2001.03.11 (일),정훈종,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대전 현대 걸리버스,청주 SK 나이츠,2001.03.11 (일),정재근,12:14,5,1/4,25.0,1/1,100.0,2/5,40.0,0/0,0,1,1,2,0,1,1,0,1,4,0,0
대전 현대 걸리버스,청주 SK 나이츠,2001.03.11 (일),양희승,30:46,10,3/5,60.0,1/5,20.0,4/10,40.0,1/1,100.0,0,1,1,0,1,1,0,0,1,0,0
대전 현대 걸리버스,청주 SK 나이츠,2001.03.11 (일),이지승,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대전 현대 걸리버스,청주 SK 나이츠,2001.03.11 (일),레지 타운젠드,40:0,18,5/11,45.5,2/2,100.0,7/13,53.8,2/4,50.0,5,7,12,0,0,3,0,2,2,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.12 (월),전수훈,8:15,3,0/0,0,0/0,0,0/0,0,3/4,75.0,2,0,2,0,0,0,0,0,3,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.12 (월),박규훈,9:57,0,0/2,0.0,0/0,0,0/2,0.0,0/0,0,0,1,1,0,3,0,1,0,3,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.12 (월),캔드릭 브룩스,40:0,39,11/16,68.8,2/8,25.0,13/24,54.2,11/14,78.6,1,9,10,0,3,1,1,0,3,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.12 (월),조성훈,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.12 (월),우지원,31:58,11,2/4,50.0,1/5,20.0,3/9,33.3,4/4,100.0,0,5,5,0,4,2,0,0,1,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.12 (월),정재헌,13:32,5,1/1,100.0,1/2,50.0,2/3,66.7,0/0,0,1,1,2,0,0,1,0,0,4,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.12 (월),곽기완,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.12 (월),이은호,7:39,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,0,1,1,0,0,2,0,0,3,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.12 (월),조동현,27:59,13,5/8,62.5,0/2,0.0,5/10,50.0,3/3,100.0,3,1,4,0,3,0,0,1,2,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.12 (월),요나 에노사,30:34,23,11/15,73.3,0/0,0,11/15,73.3,1/2,50.0,9,4,13,1,2,1,0,2,1,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.12 (월),최병훈,0:3,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0
인천 신세기 빅스,안양 SBS 스타즈,2001.03.12 (월),홍사붕,30:3,12,1/4,25.0,2/2,100.0,3/6,50.0,4/4,100.0,0,3,3,0,4,2,2,0,2,0,0
안양 SBS 스타즈,인천 신세기 빅스,2001.03.12 (월),김성환,4:44,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,1,0,1,0,0,0,0,0,1,0,0
