Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
창원 LG 세이커스,원주 동부 프로미,2010.03.10 (수),조상현,25:39,12,1/1,100.0,3/4,75.0,4/5,80.0,1/1,100.0,0,1,1,0,0,0,2,0,4,0,0
창원 LG 세이커스,원주 동부 프로미,2010.03.10 (수),전형수,23:29,9,4/6,66.7,0/3,0.0,4/9,44.4,1/2,50.0,0,1,1,0,2,1,1,0,1,0,3
창원 LG 세이커스,원주 동부 프로미,2010.03.10 (수),김현중,3:15,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
창원 LG 세이커스,원주 동부 프로미,2010.03.10 (수),백인선,13:47,0,0/3,0.0,0/0,0,0/3,0.0,0/0,0,1,2,3,0,1,1,0,0,3,0,0
창원 LG 세이커스,원주 동부 프로미,2010.03.10 (수),이창수,3:26,1,0/0,0,0/0,0,0/0,0,1/2,50.0,0,1,1,0,0,0,0,0,2,0,0
창원 LG 세이커스,원주 동부 프로미,2010.03.10 (수),강대협,30:22,22,3/6,50.0,4/7,57.1,7/13,53.8,4/7,57.1,0,0,0,0,2,2,0,0,3,0,2
창원 LG 세이커스,원주 동부 프로미,2010.03.10 (수),이현민,6:31,0,0/1,0.0,0/2,0.0,0/3,0.0,0/0,0,0,0,0,0,0,2,1,0,0,0,0
창원 LG 세이커스,원주 동부 프로미,2010.03.10 (수),이현준,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
창원 LG 세이커스,원주 동부 프로미,2010.03.10 (수),기승호,15:22,5,2/4,50.0,0/2,0.0,2/6,33.3,1/1,100.0,0,0,0,0,1,2,0,0,0,0,2
창원 LG 세이커스,원주 동부 프로미,2010.03.10 (수),문태영,38:9,11,2/8,25.0,1/2,50.0,3/10,30.0,4/6,66.7,4,6,10,0,5,6,3,0,3,0,2
창원 LG 세이커스,원주 동부 프로미,2010.03.10 (수),크리스 알렉산더,33:40,9,3/7,42.9,0/0,0,3/7,42.9,3/4,75.0,10,5,15,0,1,1,1,1,4,0,3
창원 LG 세이커스,원주 동부 프로미,2010.03.10 (수),레지날드 워렌,6:20,0,0/2,0.0,0/0,0,0/2,0.0,0/0,0,0,0,0,0,0,0,0,1,1,0,0
원주 동부 프로미,창원 LG 세이커스,2010.03.10 (수),표명일,22:49,2,0/1,0.0,0/1,0.0,0/2,0.0,2/2,100.0,0,0,0,0,3,2,2,0,2,0,0
원주 동부 프로미,창원 LG 세이커스,2010.03.10 (수),김진호,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
