Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
여수 코리아텐더 푸르미,서울 삼성 썬더스,2003.03.15 (토),김정인,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
여수 코리아텐더 푸르미,서울 삼성 썬더스,2003.03.15 (토),김진호,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
여수 코리아텐더 푸르미,서울 삼성 썬더스,2003.03.15 (토),안드레 페리,40:0,15,5/15,33.3,0/0,0,5/15,33.3,5/10,50.0,5,7,12,0,1,1,0,5,1,0,0
여수 코리아텐더 푸르미,서울 삼성 썬더스,2003.03.15 (토),박상욱,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
여수 코리아텐더 푸르미,서울 삼성 썬더스,2003.03.15 (토),에릭 이버츠,30:0,11,2/10,20.0,2/5,40.0,4/15,26.7,1/2,50.0,3,6,9,0,5,2,1,0,2,0,0
여수 코리아텐더 푸르미,서울 삼성 썬더스,2003.03.15 (토),변청운,36:42,15,0/2,0.0,5/6,83.3,5/8,62.5,0/0,0,2,1,3,0,1,3,0,0,3,0,0
여수 코리아텐더 푸르미,서울 삼성 썬더스,2003.03.15 (토),최민규,4:55,0,0/2,0.0,0/0,0,0/2,0.0,0/0,0,0,0,0,0,2,0,0,0,0,0,0
여수 코리아텐더 푸르미,서울 삼성 썬더스,2003.03.15 (토),손인보,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
여수 코리아텐더 푸르미,서울 삼성 썬더스,2003.03.15 (토),진경석,14:30,5,1/2,50.0,1/2,50.0,2/4,50.0,0/0,0,1,1,2,0,0,1,1,0,2,0,0
여수 코리아텐더 푸르미,서울 삼성 썬더스,2003.03.15 (토),김용식,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
여수 코리아텐더 푸르미,서울 삼성 썬더스,2003.03.15 (토),정락영,35:5,5,0/1,0.0,1/2,50.0,1/3,33.3,2/2,100.0,0,2,2,0,5,3,1,0,1,0,0
여수 코리아텐더 푸르미,서울 삼성 썬더스,2003.03.15 (토),황진원,38:48,25,2/6,33.3,3/6,50.0,5/12,41.7,12/14,85.7,0,5,5,0,2,0,2,0,2,0,0
서울 삼성 썬더스,여수 코리아텐더 푸르미,2003.03.15 (토),황문용,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 삼성 썬더스,여수 코리아텐더 푸르미,2003.03.15 (토),주희정,40:0,14,2/4,50.0,3/8,37.5,5/12,41.7,1/1,100.0,1,3,4,0,8,3,0,0,2,0,0
서울 삼성 썬더스,여수 코리아텐더 푸르미,2003.03.15 (토),김희선,35:51,3,0/2,0.0,1/5,20.0,1/7,14.3,0/0,0,0,3,3,0,6,3,2,0,5,0,0
서울 삼성 썬더스,여수 코리아텐더 푸르미,2003.03.15 (토),김택훈,5:1,0,0/0,0,0/0,0,0/0,0,0/0,0,0,1,1,0,0,1,0,0,3,0,0
