Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
울산 현대모비스 피버스,고양 캐롯 점퍼스,2023.04.02 (일),함지훈,20:26,16,7/7,100.0,0/0,0,7/7,100.0,2/2,100.0,4,3,7,0,0,1,0,0,0,5,6
울산 현대모비스 피버스,고양 캐롯 점퍼스,2023.04.02 (일),김현민,0:25,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,고양 캐롯 점퍼스,2023.04.02 (일),최진수,19:34,9,2/2,100.0,1/3,33.3,3/5,60.0,2/2,100.0,1,5,6,0,1,2,1,0,3,2,1
울산 현대모비스 피버스,고양 캐롯 점퍼스,2023.04.02 (일),장재석,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,고양 캐롯 점퍼스,2023.04.02 (일),김영현,24:30,6,0/1,0.0,2/8,25.0,2/9,22.2,0/0,0,0,1,1,0,4,0,0,0,1,0,0
울산 현대모비스 피버스,고양 캐롯 점퍼스,2023.04.02 (일),서명진,35:54,18,4/7,57.1,2/9,22.2,6/16,37.5,4/5,80.0,0,4,4,0,5,2,0,0,2,3,4
울산 현대모비스 피버스,고양 캐롯 점퍼스,2023.04.02 (일),저스틴 녹스,9:36,0,0/1,0.0,0/1,0.0,0/2,0.0,0/0,0,2,0,2,0,1,1,0,1,2,1,0
울산 현대모비스 피버스,고양 캐롯 점퍼스,2023.04.02 (일),이우석,1:10,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 현대모비스 피버스,고양 캐롯 점퍼스,2023.04.02 (일),신민석,9:19,5,1/1,100.0,1/1,100.0,2/2,100.0,0/0,0,0,1,1,0,2,0,0,0,2,0,1
울산 현대모비스 피버스,고양 캐롯 점퍼스,2023.04.02 (일),론제이 아바리엔토스,27:28,9,0/2,0.0,3/8,37.5,3/10,30.0,0/2,0.0,0,3,3,0,5,0,0,0,2,3,0
울산 현대모비스 피버스,고양 캐롯 점퍼스,2023.04.02 (일),게이지 프림,29:59,13,5/11,45.5,0/0,0,5/11,45.5,3/4,75.0,2,12,14,0,2,0,3,0,4,7,5
울산 현대모비스 피버스,고양 캐롯 점퍼스,2023.04.02 (일),김태완,21:39,10,2/3,66.7,2/2,100.0,4/5,80.0,0/0,0,0,3,3,0,1,3,0,0,1,0,1
고양 캐롯 점퍼스,울산 현대모비스 피버스,2023.04.02 (일),김강선,37:22,9,0/1,0.0,3/8,37.5,3/9,33.3,0/0,0,1,2,3,0,2,1,1,0,3,1,0
고양 캐롯 점퍼스,울산 현대모비스 피버스,2023.04.02 (일),최현민,21:31,0,0/0,0,0/5,0.0,0/5,0.0,0/0,0,2,0,2,0,1,0,0,0,3,2,0
고양 캐롯 점퍼스,울산 현대모비스 피버스,2023.04.02 (일),한호빈,27:5,5,1/2,50.0,0/4,0.0,1/6,16.7,3/3,100.0,2,0,2,0,0,0,1,0,3,4,1
고양 캐롯 점퍼스,울산 현대모비스 피버스,2023.04.02 (일),김진유,19:3,2,1/1,100.0,0/1,0.0,1/2,50.0,0/0,0,3,3,6,0,2,0,1,0,4,0,1
고양 캐롯 점퍼스,울산 현대모비스 피버스,2023.04.02 (일),김진용,3:9,2,1/3,33.3,0/0,0,1/3,33.3,0/0,0,0,1,1,0,0,1,0,0,0,0,1
