Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
안양 정관장 레드부스터스,서울 SK 나이츠,2023.10.21 (토),정준원,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 정관장 레드부스터스,서울 SK 나이츠,2023.10.21 (토),배병준,28:2,7,2/2,100.0,1/3,33.3,3/5,60.0,0/0,0,0,1,1,0,3,3,0,0,3,1,1
안양 정관장 레드부스터스,서울 SK 나이츠,2023.10.21 (토),이종현,18:32,11,4/4,100.0,0/0,0,4/4,100.0,3/4,75.0,0,2,2,0,0,0,0,1,1,2,4
안양 정관장 레드부스터스,서울 SK 나이츠,2023.10.21 (토),김철욱,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 정관장 레드부스터스,서울 SK 나이츠,2023.10.21 (토),박지훈,28:24,6,1/6,16.7,1/1,100.0,2/7,28.6,1/2,50.0,0,2,2,0,3,2,0,0,1,2,1
안양 정관장 레드부스터스,서울 SK 나이츠,2023.10.21 (토),최성원,35:45,3,0/3,0.0,1/5,20.0,1/8,12.5,0/0,0,0,1,1,0,6,5,0,0,2,3,0
안양 정관장 레드부스터스,서울 SK 나이츠,2023.10.21 (토),대릴 먼로,25:5,21,8/12,66.7,1/2,50.0,9/14,64.3,2/2,100.0,1,5,6,1,2,0,1,0,0,3,8
안양 정관장 레드부스터스,서울 SK 나이츠,2023.10.21 (토),김경원,21:28,4,2/3,66.7,0/0,0,2/3,66.7,0/0,0,5,3,8,0,2,0,0,2,3,1,2
안양 정관장 레드부스터스,서울 SK 나이츠,2023.10.21 (토),조은후,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 정관장 레드부스터스,서울 SK 나이츠,2023.10.21 (토),렌즈 아반도,27:49,12,5/10,50.0,0/4,0.0,5/14,35.7,2/2,100.0,1,4,5,1,0,0,0,1,2,1,3
안양 정관장 레드부스터스,서울 SK 나이츠,2023.10.21 (토),고찬혁,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 정관장 레드부스터스,서울 SK 나이츠,2023.10.21 (토),듀반 맥스웰,14:55,10,4/6,66.7,0/1,0.0,4/7,57.1,2/2,100.0,1,8,9,0,2,1,1,0,4,2,3
서울 SK 나이츠,안양 정관장 레드부스터스,2023.10.21 (토),허일영,26:2,4,2/3,66.7,0/3,0.0,2/6,33.3,0/0,0,3,0,3,0,2,0,1,0,2,1,0
서울 SK 나이츠,안양 정관장 레드부스터스,2023.10.21 (토),송창용,22:41,5,1/2,50.0,1/2,50.0,2/4,50.0,0/0,0,0,1,1,0,0,0,0,0,1,1,1
서울 SK 나이츠,안양 정관장 레드부스터스,2023.10.21 (토),김선형,24:20,7,2/6,33.3,1/3,33.3,3/9,33.3,0/0,0,2,2,4,0,6,1,1,0,4,1,2
서울 SK 나이츠,안양 정관장 레드부스터스,2023.10.21 (토),홍경기,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 SK 나이츠,안양 정관장 레드부스터스,2023.10.21 (토),오세근,24:10,8,1/2,50.0,2/4,50.0,3/6,50.0,0/0,0,0,5,5,0,5,1,0,0,2,1,1
서울 SK 나이츠,안양 정관장 레드부스터스,2023.10.21 (토),최부경,13:52,2,0/3,0.0,0/2,0.0,0/5,0.0,2/2,100.0,0,2,2,0,0,0,0,0,1,1,0
서울 SK 나이츠,안양 정관장 레드부스터스,2023.10.21 (토),리온 윌리엄스,5:15,6,2/4,50.0,0/0,0,2/4,50.0,2/2,100.0,1,1,2,0,0,0,0,0,0,1,2
