Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
전주 KCC 이지스,창원 LG 세이커스,2004.10.29 (금),표명일,14:53,1,0/1,0.0,0/2,0.0,0/3,0.0,1/2,50.0,0,0,0,0,2,0,0,0,3,0,0
전주 KCC 이지스,창원 LG 세이커스,2004.10.29 (금),R.F. 바셋,32:9,12,5/8,62.5,0/0,0,5/8,62.5,2/2,100.0,4,3,7,2,0,4,3,0,5,0,0
전주 KCC 이지스,창원 LG 세이커스,2004.10.29 (금),변청운,13:28,2,1/1,100.0,0/2,0.0,1/3,33.3,0/0,0,0,4,4,0,0,0,0,0,4,0,0
전주 KCC 이지스,창원 LG 세이커스,2004.10.29 (금),이상민,30:9,5,0/0,0,1/4,25.0,1/4,25.0,2/3,66.7,1,7,8,0,8,4,1,0,4,0,0
전주 KCC 이지스,창원 LG 세이커스,2004.10.29 (금),조성원,34:9,10,2/4,50.0,2/5,40.0,4/9,44.4,0/0,0,0,1,1,0,2,0,2,0,1,0,0
전주 KCC 이지스,창원 LG 세이커스,2004.10.29 (금),추승균,45:0,21,7/10,70.0,2/3,66.7,9/13,69.2,1/2,50.0,0,4,4,0,2,1,0,0,1,0,0
전주 KCC 이지스,창원 LG 세이커스,2004.10.29 (금),정훈종,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,창원 LG 세이커스,2004.10.29 (금),찰스 민렌드,36:54,26,8/13,61.5,1/6,16.7,9/19,47.4,7/10,70.0,0,13,13,1,2,9,1,1,4,0,0
전주 KCC 이지스,창원 LG 세이커스,2004.10.29 (금),손준영,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,창원 LG 세이커스,2004.10.29 (금),최승태,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
전주 KCC 이지스,창원 LG 세이커스,2004.10.29 (금),정재근,18:18,13,1/1,100.0,3/4,75.0,4/5,80.0,2/2,100.0,0,5,5,0,1,2,0,0,4,0,0
전주 KCC 이지스,창원 LG 세이커스,2004.10.29 (금),전일우,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
창원 LG 세이커스,전주 KCC 이지스,2004.10.29 (금),김영만,26:52,7,1/2,50.0,0/4,0.0,1/6,16.7,5/6,83.3,2,0,2,0,1,0,1,0,4,0,0
창원 LG 세이커스,전주 KCC 이지스,2004.10.29 (금),조우현,37:6,7,2/3,66.7,1/6,16.7,3/9,33.3,0/0,0,0,0,0,0,1,2,1,0,3,0,0
창원 LG 세이커스,전주 KCC 이지스,2004.10.29 (금),정진영,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
창원 LG 세이커스,전주 KCC 이지스,2004.10.29 (금),김재훈,14:38,8,1/1,100.0,2/3,66.7,3/4,75.0,0/0,0,1,0,1,0,1,0,0,0,3,0,0
창원 LG 세이커스,전주 KCC 이지스,2004.10.29 (금),송영진,15:17,3,1/3,33.3,0/2,0.0,1/5,20.0,1/2,50.0,0,0,0,0,1,2,1,0,3,0,0
창원 LG 세이커스,전주 KCC 이지스,2004.10.29 (금),박광재,6:7,3,0/0,0,0/0,0,0/0,0,3/4,75.0,1,0,1,0,0,0,0,0,3,0,0
창원 LG 세이커스,전주 KCC 이지스,2004.10.29 (금),양동인,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
창원 LG 세이커스,전주 KCC 이지스,2004.10.29 (금),제럴드 허니컷,44:35,26,7/16,43.8,2/8,25.0,9/24,37.5,6/8,75.0,4,11,15,1,4,1,2,0,1,0,0
창원 LG 세이커스,전주 KCC 이지스,2004.10.29 (금),온타리오 렛,33:45,16,7/13,53.8,0/0,0,7/13,53.8,2/4,50.0,3,7,10,2,3,3,3,0,4,0,0
창원 LG 세이커스,전주 KCC 이지스,2004.10.29 (금),이지승,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
창원 LG 세이커스,전주 KCC 이지스,2004.10.29 (금),배길태,4:43,4,2/2,100.0,0/0,0,2/2,100.0,0/0,0,0,2,2,0,2,1,0,0,0,0,0
창원 LG 세이커스,전주 KCC 이지스,2004.10.29 (금),황성인,41:57,8,1/4,25.0,2/6,33.3,3/10,30.0,0/0,0,2,3,5,0,5,4,2,1,0,0,0
원주 TG삼보 엑써스,서울 SK 나이츠,2004.10.30 (토),장영재,6:50,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0
원주 TG삼보 엑써스,서울 SK 나이츠,2004.10.30 (토),양경민,35:50,20,4/6,66.7,4/12,33.3,8/18,44.4,0/0,0,1,0,1,0,1,1,6,0,1,0,0
원주 TG삼보 엑써스,서울 SK 나이츠,2004.10.30 (토),신기성,40:0,12,5/11,45.5,0/3,0.0,5/14,35.7,2/2,100.0,3,4,7,0,7,3,1,0,3,0,0
원주 TG삼보 엑써스,서울 SK 나이츠,2004.10.30 (토),신종석,10:17,0,0/2,0.0,0/0,0,0/2,0.0,0/0,0,0,2,2,0,0,0,0,0,2,0,0
원주 TG삼보 엑써스,서울 SK 나이츠,2004.10.30 (토),김주성,40:0,19,8/16,50.0,0/0,0,8/16,50.0,3/3,100.0,3,6,9,2,2,3,0,2,4,0,0
원주 TG삼보 엑써스,서울 SK 나이츠,2004.10.30 (토),한상민,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 TG삼보 엑써스,서울 SK 나이츠,2004.10.30 (토),이상준,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 TG삼보 엑써스,서울 SK 나이츠,2004.10.30 (토),자밀 왓킨스,33:10,12,4/10,40.0,0/0,0,4/10,40.0,4/5,80.0,6,10,16,1,0,3,0,1,4,0,0
원주 TG삼보 엑써스,서울 SK 나이츠,2004.10.30 (토),처드니 그레이,33:53,21,4/11,36.4,3/4,75.0,7/15,46.7,4/5,80.0,0,3,3,0,4,0,2,0,4,0,0
원주 TG삼보 엑써스,서울 SK 나이츠,2004.10.30 (토),강기중,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 TG삼보 엑써스,서울 SK 나이츠,2004.10.30 (토),정경호,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 TG삼보 엑써스,서울 SK 나이츠,2004.10.30 (토),윤제한,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 SK 나이츠,원주 TG삼보 엑써스,2004.10.30 (토),조상현,28:52,22,5/9,55.6,4/7,57.1,9/16,56.3,0/3,0.0,0,1,1,0,2,2,0,0,4,0,0
서울 SK 나이츠,원주 TG삼보 엑써스,2004.10.30 (토),전형수,10:41,0,0/3,0.0,0/0,0,0/3,0.0,0/0,0,0,1,1,0,1,0,0,0,0,0,0
서울 SK 나이츠,원주 TG삼보 엑써스,2004.10.30 (토),허남영,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
