Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
안양 KGC 인삼공사,서울 삼성 썬더스,2016.02.25 (목),양희종,19:24,2,1/1,100.0,0/2,0.0,1/3,33.3,0/2,0.0,0,4,4,0,3,1,3,0,4,0,1
안양 KGC 인삼공사,서울 삼성 썬더스,2016.02.25 (목),정휘량,1:56,2,1/2,50.0,0/0,0,1/2,50.0,0/0,0,1,1,2,0,0,0,0,0,0,0,1
안양 KGC 인삼공사,서울 삼성 썬더스,2016.02.25 (목),찰스 로드,33:37,20,8/9,88.9,1/3,33.3,9/12,75.0,1/2,50.0,1,9,10,1,2,2,0,2,3,0,6
안양 KGC 인삼공사,서울 삼성 썬더스,2016.02.25 (목),박찬희,21:53,4,1/2,50.0,0/0,0,1/2,50.0,2/4,50.0,0,3,3,0,4,3,2,0,3,0,1
안양 KGC 인삼공사,서울 삼성 썬더스,2016.02.25 (목),이정현,21:20,16,2/3,66.7,3/7,42.9,5/10,50.0,3/5,60.0,2,1,3,0,4,1,1,0,3,0,2
안양 KGC 인삼공사,서울 삼성 썬더스,2016.02.25 (목),오세근,24:12,6,3/5,60.0,0/0,0,3/5,60.0,0/0,0,1,5,6,0,1,0,0,1,4,0,3
안양 KGC 인삼공사,서울 삼성 썬더스,2016.02.25 (목),김윤태,2:1,2,1/1,100.0,0/0,0,1/1,100.0,0/0,0,0,1,1,0,0,0,0,0,0,0,1
안양 KGC 인삼공사,서울 삼성 썬더스,2016.02.25 (목),김민욱,2:1,0,0/0,0,0/0,0,0/0,0,0/0,0,1,0,1,0,0,0,0,1,0,0,0
안양 KGC 인삼공사,서울 삼성 썬더스,2016.02.25 (목),문성곤,8:28,2,1/4,25.0,0/2,0.0,1/6,16.7,0/0,0,0,1,1,0,0,1,1,0,0,0,1
안양 KGC 인삼공사,서울 삼성 썬더스,2016.02.25 (목),전성현,25:19,16,2/3,66.7,4/11,36.4,6/14,42.9,0/0,0,1,0,1,0,2,1,2,0,1,0,1
안양 KGC 인삼공사,서울 삼성 썬더스,2016.02.25 (목),김기윤,18:7,4,2/2,100.0,0/1,0.0,2/3,66.7,0/1,0.0,0,2,2,0,4,3,0,0,4,0,2
안양 KGC 인삼공사,서울 삼성 썬더스,2016.02.25 (목),마리오 리틀,21:42,22,5/8,62.5,3/4,75.0,8/12,66.7,3/4,75.0,2,4,6,1,2,1,0,3,1,0,3
서울 삼성 썬더스,안양 KGC 인삼공사,2016.02.25 (목),주희정,15:3,1,0/2,0.0,0/2,0.0,0/4,0.0,1/2,50.0,1,2,3,0,1,0,0,0,1,0,0
