Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
대구 오리온스,서울 삼성 썬더스,2007.03.31 (토),이은호,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대구 오리온스,서울 삼성 썬더스,2007.03.31 (토),김병철,38:14,19,6/10,60.0,2/7,28.6,8/17,47.1,1/1,100.0,2,0,2,0,4,2,0,0,2,0,6
대구 오리온스,서울 삼성 썬더스,2007.03.31 (토),이흥배,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대구 오리온스,서울 삼성 썬더스,2007.03.31 (토),김승현,35:26,0,0/1,0.0,0/10,0.0,0/11,0.0,0/0,0,0,6,6,0,8,2,0,0,3,0,0
대구 오리온스,서울 삼성 썬더스,2007.03.31 (토),오용준,6:10,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,0,0,0,0,1,0,0,1,0,0
대구 오리온스,서울 삼성 썬더스,2007.03.31 (토),박준용,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대구 오리온스,서울 삼성 썬더스,2007.03.31 (토),성준모,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
대구 오리온스,서울 삼성 썬더스,2007.03.31 (토),이현준,30:10,5,1/2,50.0,1/5,20.0,2/7,28.6,0/0,0,0,2,2,0,1,1,1,0,4,0,1
대구 오리온스,서울 삼성 썬더스,2007.03.31 (토),주태수,20:11,5,1/2,50.0,1/1,100.0,2/3,66.7,0/0,0,0,4,4,0,0,1,0,0,5,0,1
대구 오리온스,서울 삼성 썬더스,2007.03.31 (토),정재호,9:49,0,0/0,0,0/2,0.0,0/2,0.0,0/0,0,1,2,3,0,1,0,0,0,1,0,0
대구 오리온스,서울 삼성 썬더스,2007.03.31 (토),피트 마이클,40:0,37,6/11,54.5,5/11,45.5,11/22,50.0,10/10,100.0,6,12,18,0,2,1,1,1,2,0,5
대구 오리온스,서울 삼성 썬더스,2007.03.31 (토),마커스 다우잇,20:0,17,7/11,63.6,0/0,0,7/11,63.6,3/4,75.0,6,6,12,2,1,2,0,3,4,0,6
서울 삼성 썬더스,대구 오리온스,2007.03.31 (토),네이트 존슨,20:36,5,2/5,40.0,0/1,0.0,2/6,33.3,1/2,50.0,0,3,3,0,4,1,1,0,3,0,2
서울 삼성 썬더스,대구 오리온스,2007.03.31 (토),강혁,35:41,10,5/8,62.5,0/3,0.0,5/11,45.5,0/2,0.0,0,1,1,0,5,1,1,0,3,0,3
서울 삼성 썬더스,대구 오리온스,2007.03.31 (토),이규섭,28:4,23,5/6,83.3,4/9,44.4,9/15,60.0,1/2,50.0,0,2,2,0,0,2,0,0,3,0,5
서울 삼성 썬더스,대구 오리온스,2007.03.31 (토),박영민,2:9,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 삼성 썬더스,대구 오리온스,2007.03.31 (토),이병윤,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 삼성 썬더스,대구 오리온스,2007.03.31 (토),올루미데 오예데지,39:24,10,4/11,36.4,0/0,0,4/11,36.4,2/2,100.0,3,13,16,2,5,1,0,0,3,0,4
서울 삼성 썬더스,대구 오리온스,2007.03.31 (토),이원수,6:22,5,0/0,0,1/2,50.0,1/2,50.0,2/2,100.0,0,0,0,0,1,0,0,0,0,0,0
서울 삼성 썬더스,대구 오리온스,2007.03.31 (토),임휘종,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 삼성 썬더스,대구 오리온스,2007.03.31 (토),이정석,37:51,11,1/2,50.0,3/4,75.0,4/6,66.7,0/3,0.0,0,1,1,0,0,1,3,0,3,0,1
서울 삼성 썬더스,대구 오리온스,2007.03.31 (토),송태영,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 삼성 썬더스,대구 오리온스,2007.03.31 (토),서장훈,29:53,14,3/4,75.0,0/6,0.0,3/10,30.0,8/8,100.0,0,5,5,0,2,2,0,0,3,0,3
서울 삼성 썬더스,대구 오리온스,2007.03.31 (토),박성훈,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
부산 KTF 매직윙스,안양 KT&G 카이츠,2007.04.01 (일),임영훈,0:18,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0
부산 KTF 매직윙스,안양 KT&G 카이츠,2007.04.01 (일),신기성,38:36,9,2/5,40.0,1/4,25.0,3/9,33.3,2/2,100.0,1,4,5,0,4,4,0,0,2,0,1
부산 KTF 매직윙스,안양 KT&G 카이츠,2007.04.01 (일),옥범준,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
부산 KTF 매직윙스,안양 KT&G 카이츠,2007.04.01 (일),애런 맥기,29:44,17,6/10,60.0,1/4,25.0,7/14,50.0,2/2,100.0,1,8,9,0,1,4,1,2,3,0,6
부산 KTF 매직윙스,안양 KT&G 카이츠,2007.04.01 (일),조성민,25:34,13,4/5,80.0,1/1,100.0,5/6,83.3,2/2,100.0,2,2,4,0,1,0,1,0,4,0,4
