Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
인천 전자랜드 엘리펀츠,부산 KT 소닉붐,2014.03.12 (수),이현호,26:58,5,1/4,25.0,1/3,33.3,2/7,28.6,0/0,0,1,1,2,0,0,1,0,0,1,0,1
인천 전자랜드 엘리펀츠,부산 KT 소닉붐,2014.03.12 (수),한정원,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 전자랜드 엘리펀츠,부산 KT 소닉붐,2014.03.12 (수),주태수,12:53,2,1/1,100.0,0/0,0,1/1,100.0,0/0,0,0,1,1,0,0,0,1,0,3,0,1
인천 전자랜드 엘리펀츠,부산 KT 소닉붐,2014.03.12 (수),정영삼,26:6,11,1/2,50.0,3/7,42.9,4/9,44.4,0/0,0,0,0,0,0,1,2,1,0,2,0,1
인천 전자랜드 엘리펀츠,부산 KT 소닉붐,2014.03.12 (수),정병국,13:53,10,2/4,50.0,2/3,66.7,4/7,57.1,0/0,0,0,1,1,0,1,0,0,0,1,0,2
인천 전자랜드 엘리펀츠,부산 KT 소닉붐,2014.03.12 (수),정재홍,5:24,0,0/0,0,0/0,0,0/0,0,0/0,0,0,1,1,0,2,0,0,0,2,0,0
인천 전자랜드 엘리펀츠,부산 KT 소닉붐,2014.03.12 (수),리카르도 포웰,26:25,32,11/20,55.0,2/4,50.0,13/24,54.2,4/8,50.0,3,7,10,2,2,0,3,0,4,0,11
인천 전자랜드 엘리펀츠,부산 KT 소닉붐,2014.03.12 (수),박성진,2:33,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 전자랜드 엘리펀츠,부산 KT 소닉붐,2014.03.12 (수),찰스 로드,13:35,7,3/6,50.0,0/0,0,3/6,50.0,1/4,25.0,1,4,5,0,0,1,0,3,4,0,2
인천 전자랜드 엘리펀츠,부산 KT 소닉붐,2014.03.12 (수),함누리,20:36,0,0/2,0.0,0/1,0.0,0/3,0.0,0/0,0,3,0,3,0,1,0,0,0,2,0,0
인천 전자랜드 엘리펀츠,부산 KT 소닉붐,2014.03.12 (수),차바위,19:34,0,0/2,0.0,0/0,0,0/2,0.0,0/0,0,1,0,1,0,1,0,0,0,3,0,0
인천 전자랜드 엘리펀츠,부산 KT 소닉붐,2014.03.12 (수),김지완,32:3,0,0/0,0,0/0,0,0/0,0,0/0,0,1,1,2,0,5,2,0,0,2,0,0
부산 KT 소닉붐,인천 전자랜드 엘리펀츠,2014.03.12 (수),조성민,37:55,14,1/4,25.0,1/5,20.0,2/9,22.2,9/9,100.0,1,2,3,0,1,2,1,0,2,0,1
부산 KT 소닉붐,인천 전자랜드 엘리펀츠,2014.03.12 (수),오용준,8:17,2,0/0,0,0/1,0.0,0/1,0.0,2/2,100.0,1,0,1,0,0,0,0,0,0,0,0
부산 KT 소닉붐,인천 전자랜드 엘리펀츠,2014.03.12 (수),김현중,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
부산 KT 소닉붐,인천 전자랜드 엘리펀츠,2014.03.12 (수),아이라 클라크,17:36,8,2/5,40.0,0/0,0,2/5,40.0,4/6,66.7,2,2,4,1,0,2,1,3,3,0,2
부산 KT 소닉붐,인천 전자랜드 엘리펀츠,2014.03.12 (수),송영진,20:3,0,0/1,0.0,0/2,0.0,0/3,0.0,0/0,0,0,4,4,0,0,0,1,1,4,0,0
